# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-200 0.0193344 -1.87731 0 -1.63651 2.86529e+17 1.49985e+15 3350.83 145.842 -936.568 0 0 0 0 0 -99831.1 0 0 
-195.026 0.0188686 -1.87778 -0.000314188 -1.65769 2.88002e+17 3.34213e+15 3350.83 145.842 -911.542 0 0 0 0 0 -99831.1 0 0 
-190.163 0.0184371 -1.87821 -0.000619911 -1.66956 2.89229e+17 5.2013e+15 3350.83 145.842 -875.653 0 0 0 0 0 -99831.1 0 0 
-185.406 0.018026 -1.87862 -0.000917549 -1.67779 2.90341e+17 7.03854e+15 3350.83 145.842 -859.284 0 0 0 0 0 -99831.1 0 0 
-180.755 0.0176287 -1.87902 -0.00120737 -1.68412 2.91396e+17 8.85416e+15 3350.83 145.842 -852.025 0 0 0 0 0 -99831.1 0 0 
-176.207 0.0172421 -1.87941 -0.00148958 -1.68929 2.92425e+17 1.06539e+16 3350.83 145.842 -849.349 0 0 0 0 0 -99831.1 0 0 
-171.759 0.0168646 -1.87978 -0.00176438 -1.69369 2.9344e+17 1.24444e+16 3350.83 145.842 -849.214 0 0 0 0 0 -99831.1 0 0 
-167.41 0.0164951 -1.88015 -0.00203195 -1.69753 2.94451e+17 1.42314e+16 3350.83 145.842 -850.658 0 0 0 0 0 -99831.1 0 0 
-163.156 0.0161328 -1.88052 -0.00229245 -1.70095 2.95462e+17 1.60204e+16 3350.83 145.842 -853.207 0 0 0 0 0 -99831.1 0 0 
-158.997 0.0157773 -1.88087 -0.00254605 -1.70405 2.96479e+17 1.7816e+16 3350.83 145.842 -856.608 0 0 0 0 0 -99831.1 0 0 
-154.93 0.0154282 -1.88122 -0.00279291 -1.7069 2.97502e+17 1.96221e+16 3350.83 145.842 -860.713 0 0 0 0 0 -99831.1 0 0 
-150.952 0.0150849 -1.88156 -0.00303317 -1.70954 2.98535e+17 2.14418e+16 3350.83 145.842 -865.426 0 0 0 0 0 -99831.1 0 0 
-147.063 0.0147474 -1.8819 -0.00326701 -1.712 2.99579e+17 2.3278e+16 3350.83 145.842 -870.677 0 0 0 0 0 -99831.1 0 0 
