# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -0.175 -3.475 -1.37989 -2.81982 -2.025 637785 3.14659e+14 8.51543e-05 0.000315297 8.70152e-18 1.58954e-08 64508.6 0 0 3.74359e-12 0 0 0.00102647 0 0 0 0 0 0 4.15487e+10 4.15487e+10 4.15487e+10 4.15487e+10 
9.79066e-05 -0.174368 -3.47437 -1.37594 -2.81919 -2.02563 724179 3.14653e+14 8.52126e-05 0.000315295 9.88698e-18 1.5895e-08 64509.4 0 0 3.74365e-12 0 0 0.00102647 0 0 0 0 0 0 4.71826e+10 4.71826e+10 4.71826e+10 4.71826e+10 
0.000214985 -0.173613 -3.47361 -1.3718 -2.81844 -2.02639 824679 3.14645e+14 8.5274e-05 0.000315294 1.12672e-17 1.58945e-08 64511.3 0 0 3.74378e-12 0 0 0.00102647 0 0 0 0 0 0 5.37372e+10 5.37372e+10 5.37372e+10 5.37372e+10 
0.000354988 -0.17271 -3.47271 -1.36745 -2.81753 -2.02729 940978 3.14636e+14 8.53379e-05 0.000315292 1.28657e-17 1.58939e-08 64513.6 0 0 3.74394e-12 0 0 0.00102647 0 0 0 0 0 0 6.13232e+10 6.13232e+10 6.13232e+10 6.13232e+10 
0.000522406 -0.17163 -3.47163 -1.36291 -2.81645 -2.02837 1.07472e+06 3.14625e+14 8.54041e-05 0.00031529 1.47058e-17 1.58933e-08 64516.3 0 0 3.74414e-12 0 0 0.00102647 0 0 0 0 0 0 7.00481e+10 7.00481e+10 7.00481e+10 7.00481e+10 
0.000722606 -0.170338 -3.47034 -1.35815 -2.81516 -2.02966 1.22739e+06 3.14611e+14 8.5472e-05 0.000315287 1.68082e-17 1.58925e-08 64519.6 0 0 3.7444e-12 0 0 0.00102647 0 0 0 0 0 0 8.00084e+10 8.00084e+10 8.00084e+10 8.00084e+10 
0.000962009 -0.168794 -3.46879 -1.35317 -2.81361 -2.03121 1.40013e+06 3.14596e+14 8.55412e-05 0.000315284 1.91891e-17 1.58915e-08 64523.5 0 0 3.74474e-12 0 0 0.00102647 0 0 0 0 0 0 9.12785e+10 9.12785e+10 9.12785e+10 9.12785e+10 
0.00124829 -0.166946 -3.46695 -1.34795 -2.81176 -2.03305 1.59349e+06 3.14577e+14 8.5611e-05 0.000315281 2.18571e-17 1.58904e-08 64528.1 0 0 3.74519e-12 0 0 0.00102647 0 0 0 0 0 0 1.03896e+11 1.03896e+11 1.03896e+11 1.03896e+11 
0.00159063 -0.164737 -3.46474 -1.34245 -2.80955 -2.03526 1.80724e+06 3.14554e+14 8.56808e-05 0.000315276 2.48091e-17 1.5889e-08 64533.7 0 0 3.7458e-12 0 0 0.00102647 0 0 0 0 0 0 1.17843e+11 1.17843e+11 1.17843e+11 1.17843e+11 
0.002 -0.162095 -3.4621 -1.33665 -2.80691 -2.0379 2.03998e+06 3.14527e+14 8.57495e-05 0.00031527 2.80265e-17 1.58873e-08 64537 0 0 3.74619e-12 0 0 0.00102647 0 0 0 0 0 0 1.33028e+11 1.33028e+11 1.33028e+11 1.33028e+11 
