# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -0.3 -3.6 -2.22217 -2.99443 -1.9 8.35863e-08 1.89854e+14 0.000107833 0.000636076 8.01088e-23 1.93481e-08 63275.1 0 0 5.35326e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
9.79066e-05 -0.29938 -3.59938 -2.22217 -2.99381 -1.90062 8.16072e-08 1.89852e+14 0.000107833 0.000636074 8.01088e-23 1.93478e-08 63275.6 0 0 5.35327e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.000214985 -0.29864 -3.59864 -2.22217 -2.99307 -1.90136 7.9302e-08 1.89849e+14 0.000107833 0.000636073 8.01088e-23 1.93475e-08 63276.8 0 0 5.35328e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.000354988 -0.297754 -3.59775 -2.22217 -2.99218 -1.90225 7.66307e-08 1.89845e+14 0.000107833 0.000636071 8.01088e-23 1.93471e-08 63278.1 0 0 5.35328e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.000522406 -0.296694 -3.59669 -2.22217 -2.99112 -1.90331 7.35541e-08 1.8984e+14 0.000107834 0.00063607 8.01088e-23 1.93466e-08 63279.8 0 0 5.35329e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.000722606 -0.295427 -3.59543 -2.22217 -2.98985 -1.90457 7.00367e-08 1.89835e+14 0.000107834 0.000636068 8.01088e-23 1.9346e-08 63281.7 0 0 5.3533e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.000962009 -0.293912 -3.59391 -2.22217 -2.98833 -1.90609 6.60506e-08 1.89829e+14 0.000107835 0.000636065 8.01088e-23 1.93452e-08 63284.1 0 0 5.3533e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.00124829 -0.292101 -3.5921 -2.22217 -2.98652 -1.9079 6.15804e-08 1.89821e+14 0.000107836 0.000636062 8.01088e-23 1.93444e-08 63286.9 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.00159063 -0.289934 -3.58993 -2.22217 -2.98435 -1.91007 5.66302e-08 1.89812e+14 0.000107837 0.000636059 8.01088e-23 1.93434e-08 63290.3 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.002 -0.287343 -3.58734 -2.22217 -2.98176 -1.91266 5.12299e-08 1.89802e+14 0.000107837 0.00063605 8.01088e-23 1.9342e-08 63292.3 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.002 -0.287343 -3.58734 -2.22217 -2.98176 -1.91266 5.12299e-08 1.89802e+14 0.000107839 0.000636059 8.01088e-23 1.93423e-08 63296.7 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.0025 -0.284178 -3.58418 -2.22217 -2.97859 -1.91582 4.53273e-08 1.89789e+14 0.000107839 0.000636049 8.01088e-23 1.93406e-08 63299.2 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.003 -0.281013 -3.58101 -2.22217 -2.97543 -1.91899 4.01045e-08 1.89776e+14 0.000107841 0.000636043 8.01088e-23 1.93391e-08 63304.1 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.0035 -0.277848 -3.57785 -2.22217 -2.97226 -1.92215 3.54831e-08 1.89762e+14 0.000107842 0.000636038 8.01088e-23 1.93376e-08 63309 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.004 -0.274682 -3.57468 -2.22217 -2.96909 -1.92532 3.13939e-08 1.89749e+14 0.000107844 0.000636033 8.01088e-23 1.93362e-08 63313.9 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.0045 -0.271516 -3.57152 -2.22217 -2.96592 -1.92848 2.77757e-08 1.89736e+14 0.000107845 0.000636028 8.01088e-23 1.93347e-08 63318.8 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.005 -0.26835 -3.56835 -2.22217 -2.96275 -1.93165 2.45743e-08 1.89723e+14 0.000107846 0.000636022 8.01088e-23 1.93332e-08 63323.7 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.0055 -0.265184 -3.56518 -2.22217 -2.95958 -1.93482 2.17416e-08 1.8971e+14 0.000107848 0.000636017 8.01088e-23 1.93317e-08 63328.6 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.006 -0.262018 -3.56202 -2.22217 -2.95642 -1.93798 1.92353e-08 1.89697e+14 0.000107849 0.000636012 8.01088e-23 1.93302e-08 63333.5 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.0065 -0.258851 -3.55885 -2.22217 -2.95325 -1.94115 1.70178e-08 1.89684e+14 0.000107851 0.000636007 8.01088e-23 1.93287e-08 63338.4 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.007 -0.255684 -3.55568 -2.22217 -2.95008 -1.94432 1.50557e-08 1.89671e+14 0.000107852 0.000636001 8.01088e-23 1.93272e-08 63343.3 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.0075 -0.252516 -3.55252 -2.22217 -2.94691 -1.94748 1.33198e-08 1.89658e+14 0.000107853 0.000635996 8.01088e-23 1.93257e-08 63348.2 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
0.008 -0.249349 -3.54935 -2.22217 -2.94374 -1.95065 1.17838e-08 1.89645e+14 0.000107855 0.000635991 8.01088e-23 1.93242e-08 63353.1 0 0 5.35331e-25 0 0 0.00122519 0 0 0 0 0 0 0 0 0 0 
