# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -5.3 -8.6 -7.26995 -7.98902 3.1 1.31708e-08 1.62736e+14 0.000727192 0.00407093 8.01088e-23 1.06142e-07 309866 0 0 1.29951e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
9.79066e-05 -5.29697 -8.59697 -7.26995 -7.98599 3.09697 1.17125e-08 1.62734e+14 0.000727194 0.00407094 8.01088e-23 1.06141e-07 309867 0 0 1.29952e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.000214985 -5.29334 -8.59334 -7.26995 -7.98236 3.09334 1.0179e-08 1.62733e+14 0.000727201 0.00407097 8.01088e-23 1.06141e-07 309868 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.000354988 -5.289 -8.589 -7.26995 -7.97802 3.089 8.60658e-09 1.62731e+14 0.000727208 0.00407101 8.01088e-23 1.06141e-07 309869 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.000522406 -5.28381 -8.58381 -7.26995 -7.97283 3.08381 7.04181e-09 1.62728e+14 0.000727217 0.00407105 8.01088e-23 1.0614e-07 309870 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.000722606 -5.27761 -8.57761 -7.26995 -7.96663 3.07761 5.53952e-09 1.62725e+14 0.000727228 0.0040711 8.01088e-23 1.0614e-07 309872 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.000962009 -5.27019 -8.57019 -7.26995 -7.95921 3.07019 4.15771e-09 1.62722e+14 0.000727242 0.00407116 8.01088e-23 1.06139e-07 309874 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.00124829 -5.26132 -8.56132 -7.26995 -7.95034 3.06132 2.95007e-09 1.62718e+14 0.000727258 0.00407124 8.01088e-23 1.06138e-07 309877 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.00159063 -5.25071 -8.55071 -7.26995 -7.93973 3.05071 1.95716e-09 1.62713e+14 0.000727277 0.00407133 8.01088e-23 1.06137e-07 309879 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
0.002 -5.23803 -8.53803 -7.26995 -7.92704 3.03803 1.19819e-09 1.62707e+14 0.000727286 0.00407135 8.01088e-23 1.06134e-07 309881 0 0 1.29953e-24 0 0 0.032893 0 0 0 0 0 0 0 0 0 0 
