# Parameter sweep (sweep_gate)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# backcontact.current      A/cm           real
# drain.current            A/cm           real
# gate.current             A/cm           real
# source.current           A/cm           real
# --------------------------------------------------
#
# $Vg backcontact.current drain.current gate.current source.current 
-0.5 4.01015e-14 -2.15314e-11 2.27392e-15 2.1489e-11
-0.48 4.12058e-14 -3.62279e-11 8.54682e-15 3.61782e-11
-0.46 4.24822e-14 -6.15343e-11 2.17257e-14 6.14701e-11
-0.44 4.59619e-14 -1.0598e-10 2.64794e-14 1.05908e-10
-0.42 4.26685e-14 -1.85081e-10 2.75969e-14 1.8501e-10
-0.4 4.15152e-14 -3.26949e-10 2.408e-14 3.26883e-10
-0.38 3.98825e-14 -5.82509e-10 6.17937e-16 5.82469e-10
-0.36 4.25528e-14 -1.04427e-09 9.09074e-15 1.04422e-09
-0.34 4.4231e-14 -1.88013e-09 2.00206e-14 1.88007e-09
-0.32 4.35971e-14 -3.39531e-09 2.14031e-14 3.39525e-09
-0.3 4.16312e-14 -6.14492e-09 -1.06983e-14 6.14488e-09
-0.28 4.17735e-14 -1.11393e-08 1.13352e-14 1.11392e-08
-0.26 4.29995e-14 -2.02176e-08 2.1808e-14 2.02175e-08
-0.24 4.38772e-14 -3.67301e-08 4.27657e-14 3.673e-08
-0.22 4.29468e-14 -6.67813e-08 2.32455e-14 6.67813e-08
-0.2 4.31571e-14 -1.21498e-07 3.57717e-14 1.21498e-07
-0.18 4.07625e-14 -2.21165e-07 2.65619e-14 2.21165e-07
-0.16 4.16748e-14 -4.02766e-07 2.97879e-14 4.02766e-07
-0.14 4.21648e-14 -7.33726e-07 1.76726e-14 7.33726e-07
-0.12 4.19606e-14 -1.33694e-06 2.40531e-14 1.33694e-06
-0.1 4.04364e-14 -2.4363e-06 2.75892e-15 2.4363e-06
-0.08 4.10372e-14 -4.43933e-06 3.25878e-14 4.43933e-06
-0.06 3.94918e-14 -8.08673e-06 6.56946e-15 8.08673e-06
-0.04 3.92179e-14 -1.47217e-05 -1.14679e-14 1.47217e-05
-0.02 3.87374e-14 -2.67714e-05 -6.4115e-14 2.67714e-05
0 3.60889e-14 -4.85965e-05 -9.79183e-14 4.85965e-05
0.02 4.18504e-14 -8.79621e-05 -1.95051e-13 8.79621e-05
0.04 4.1098e-14 -0.000158501 -3.43568e-13 0.000158501
0.06 3.8424e-14 -0.000283622 -6.86892e-13 0.000283622
0.08 4.25737e-14 -0.000502155 -1.20554e-12 0.000502155
0.1 3.69972e-14 -0.000875234 -2.17957e-12 0.000875234
0.12 3.25462e-14 -0.00149204 -3.81078e-12 0.00149204
0.14 2.56829e-14 -0.00246962 -6.35798e-12 0.00246962
0.16 6.54649e-15 -0.00394175 -1.03106e-11 0.00394175
0.18 -1.40406e-14 -0.00603728 -1.59716e-11 0.00603728
0.2 -5.27462e-14 -0.00885683 -2.37312e-11 0.00885683
0.22 -1.07274e-13 -0.0124591 -3.37634e-11 0.0124591
0.24 -1.7811e-13 -0.0168608 -4.62047e-11 0.0168608
0.26 -2.68868e-13 -0.0220461 -6.10034e-11 0.0220461
0.28 -3.81412e-13 -0.027978 -7.81517e-11 0.027978
0.3 -1.21882e-12 -0.0346089 -7.8053e-11 0.0346089
0.32 -9.56114e-09 -0.0418871 2.00496e-07 0.0418869
0.34 -3.91153e-09 -0.0497613 8.34781e-08 0.0497613
0.36 -3.19375e-09 -0.0581829 6.95647e-08 0.0581828
0.38 -2.60867e-09 -0.0671066 5.83157e-08 0.0671065
0.4 -1.07035e-09 -0.0764914 2.45059e-08 0.0764914
0.42 -8.84688e-10 -0.0863002 2.08055e-08 0.0863002
0.44 -2.10679e-12 -0.0964995 -2.86781e-10 0.0964995
0.46 -2.43085e-12 -0.107059 -3.20323e-10 0.107059
0.48 -2.77875e-12 -0.117952 -3.55272e-10 0.117952
0.5 -3.14883e-12 -0.129153 -3.91614e-10 0.129153
0.52 -3.54061e-12 -0.140641 -4.29233e-10 0.140641
0.54 -3.96447e-12 -0.152396 -4.68167e-10 0.152396
0.56 -4.41215e-12 -0.164399 -5.08316e-10 0.164399
0.58 -4.88988e-12 -0.176634 -5.49763e-10 0.176634
0.6 -5.38781e-12 -0.189086 -5.92289e-10 0.189086
0.62 -5.9096e-12 -0.20174 -6.35966e-10 0.20174
0.64 -6.46326e-12 -0.214585 -6.80863e-10 0.214585
0.66 -7.04587e-12 -0.227608 -7.26845e-10 0.227608
0.68 -7.65688e-12 -0.240798 -7.73946e-10 0.240798
0.7 -8.29357e-12 -0.254146 -8.22067e-10 0.254146
0.72 -8.95706e-12 -0.267641 -8.71326e-10 0.267641
0.74 -9.65425e-12 -0.281276 -9.21608e-10 0.281276
0.76 -1.03716e-11 -0.295042 -9.7293e-10 0.295042
0.78 -1.1124e-11 -0.308931 -1.02523e-09 0.308931
0.8 -1.19054e-11 -0.322936 -1.07851e-09 0.322936
0.82 -1.27077e-11 -0.337051 -1.1328e-09 0.337051
0.84 -1.35493e-11 -0.351268 -1.18801e-09 0.351268
0.86 -1.44092e-11 -0.365583 -1.2442e-09 0.365583
0.88 -1.53017e-11 -0.379988 -1.30135e-09 0.379988
0.9 -1.62189e-11 -0.394479 -1.35919e-09 0.394479
0.92 -1.71674e-11 -0.409049 -1.41806e-09 0.409049
0.94 -1.81408e-11 -0.423696 -1.47778e-09 0.423696
0.96 -1.91387e-11 -0.438412 -1.53829e-09 0.438412
0.98 -2.01626e-11 -0.453194 -1.59961e-09 0.453194
1 -2.12141e-11 -0.468037 -1.66177e-09 0.468037
1.02 -2.22912e-11 -0.482938 -1.72466e-09 0.482938
1.04 -2.33921e-11 -0.497891 -1.78836e-09 0.497891
1.06 -2.45144e-11 -0.512892 -1.85273e-09 0.512892
1.08 -2.56722e-11 -0.527939 -1.91791e-09 0.527939
1.1 -2.68454e-11 -0.543027 -1.98369e-09 0.543027
1.12 -2.80457e-11 -0.558152 -2.05021e-09 0.558152
1.14 -2.92651e-11 -0.57331 -2.11747e-09 0.57331
1.16 -3.05123e-11 -0.588499 -2.18523e-09 0.588499
1.18 -3.17856e-11 -0.603715 -2.25379e-09 0.603715
1.2 -3.30711e-11 -0.618954 -2.32301e-09 0.618954
1.22 -3.43919e-11 -0.634212 -2.39276e-09 0.634212
1.24 -3.57297e-11 -0.649488 -2.46321e-09 0.649488
1.26 -3.70857e-11 -0.664776 -2.53379e-09 0.664776
1.28 -3.84703e-11 -0.680075 -2.60557e-09 0.680075
1.3 -3.98714e-11 -0.69538 -2.67738e-09 0.69538
1.32 -4.12981e-11 -0.71069 -2.75007e-09 0.71069
1.34 -4.27463e-11 -0.725999 -2.82331e-09 0.725999
1.36 -4.42107e-11 -0.741306 -2.89699e-09 0.741306
1.38 -4.56976e-11 -0.756607 -2.97104e-09 0.756607
1.4 -4.72071e-11 -0.771899 -3.04561e-09 0.771899
1.42 -4.87346e-11 -0.787178 -3.12108e-09 0.787178
1.44 -5.02827e-11 -0.802442 -3.19665e-09 0.802442
1.46 -5.18457e-11 -0.817687 -3.27259e-09 0.817687
1.48 -5.34306e-11 -0.83291 -3.34858e-09 0.83291
1.5 -5.50283e-11 -0.848107 -3.42561e-09 0.848107
