# DOI:Calculated from 10.1116/1.5121604 
# | wavelength | n | k
229.0 2.345107 NaN
229.5 2.334412 0.409566
230.0 2.323865 0.409788
230.5 2.313893 0.410267
231.0 2.304678 0.412969
231.5 2.295599 0.415715
232.0 2.286515 0.418513
232.5 2.277630 0.421510
233.0 2.269143 0.424644
233.5 2.261277 0.428000
234.0 2.254033 0.431878
234.5 2.247075 0.435714
235.0 2.240184 0.439552
235.5 2.233151 0.443425
236.0 2.225789 0.447417
236.5 2.218206 0.451821
237.0 2.210607 0.456759
237.5 2.203066 0.461823
238.0 2.195688 0.466964
238.5 2.188459 0.472081
239.0 2.181486 0.477186
239.5 2.174839 0.482283
240.0 2.168637 0.487276
240.5 2.163075 0.492233
241.0 2.158264 0.497060
241.5 2.154009 0.501773
242.0 2.149925 0.506442
242.5 2.145623 0.511170
243.0 2.140777 0.516020
243.5 2.135710 0.520910
244.0 2.131057 0.525622
244.5 2.127325 0.530046
245.0 2.124374 0.534324
245.5 2.121802 0.538315
246.0 2.119219 0.542268
246.5 2.116278 0.546267
247.0 2.113174 0.550297
247.5 2.110379 0.554442
248.0 2.108488 0.559606
248.5 2.107083 0.564691
249.0 2.105921 0.569714
249.5 2.104670 0.574573
250.0 2.103205 0.579271
250.5 2.101597 0.583314
251.0 2.100175 0.586954
251.5 2.099311 0.591168
252.0 2.098788 0.595390
252.5 2.098470 0.599466
253.0 2.098143 0.602888
253.5 2.097926 0.606219
254.0 2.097875 0.609492
254.5 2.097992 0.612702
255.0 2.098297 0.615865
255.5 2.098819 0.618986
256.0 2.099792 0.622636
256.5 2.101172 0.626644
257.0 2.102805 0.630562
257.5 2.104660 0.634361
258.0 2.106629 0.637796
258.5 2.108350 0.639818
259.0 2.110244 0.641779
259.5 2.112273 0.643642
260.0 2.114274 0.645262
260.5 2.116181 0.646902
261.0 2.117868 0.648586
261.5 2.119062 0.649696
262.0 2.119962 0.650480
262.5 2.120821 0.651071
263.0 2.121865 0.651610
263.5 2.123199 0.652063
264.0 2.124753 0.652517
264.5 2.126423 0.653184
265.0 2.127984 0.653868
265.5 2.129355 0.654689
266.0 2.130534 0.655533
266.5 2.131479 0.655975
267.0 2.132379 0.656430
267.5 2.133283 0.656872
268.0 2.134125 0.657321
268.5 2.134798 0.657813
269.0 2.135213 0.658390
269.5 2.135264 0.659033
270.0 2.134743 0.659183
270.5 2.133767 0.658917
271.0 2.132674 0.658698
271.5 2.131624 0.658510
272.0 2.130730 0.658263
272.5 2.129985 0.657953
273.0 2.129289 0.657596
273.5 2.128578 0.657305
274.0 2.127743 0.657091
274.5 2.126705 0.656944
275.0 2.125422 0.656875
275.5 2.123960 0.657063
276.0 2.122288 0.657351
276.5 2.120397 0.657697
277.0 2.118304 0.658088
277.5 2.116078 0.658704
278.0 2.113762 0.659378
278.5 2.111507 0.659993
279.0 2.109424 0.660570
279.5 2.107580 0.661102
280.0 2.105895 0.661663
280.5 2.104204 0.662350
281.0 2.102331 0.663114
281.5 2.100173 0.663972
282.0 2.097620 0.664937
282.5 2.094641 0.666018
283.0 2.091559 0.667791
283.5 2.088400 0.669865
284.0 2.085266 0.671943
284.5 2.082281 0.673988
285.0 2.079492 0.675970
285.5 2.076941 0.677868
286.0 2.074580 0.679699
286.5 2.072327 0.681586
287.0 2.070071 0.683499
287.5 2.067717 0.685468
288.0 2.065257 0.687788
288.5 2.062574 0.690215
289.0 2.059733 0.692723
289.5 2.056841 0.695375
290.0 2.053986 0.698184
290.5 2.051213 0.700980
291.0 2.048586 0.703730
291.5 2.046136 0.706413
292.0 2.044030 0.709523
292.5 2.042093 0.712755
293.0 2.040206 0.715955
293.5 2.038316 0.719163
294.0 2.036366 0.722372
294.5 2.034349 0.725599
295.0 2.032255 0.728845
295.5 2.030128 0.732204
296.0 2.028028 0.735800
296.5 2.025898 0.739421
297.0 2.023754 0.743063
297.5 2.021608 0.746726
298.0 2.019482 0.750408
298.5 2.017376 0.754110
299.0 2.015285 0.757833
299.5 2.013234 0.761729
300.0 2.011219 0.765767
300.5 2.009338 0.770112
301.0 2.007490 0.774469
301.5 2.005694 0.778822
302.0 2.003949 0.783170
302.5 2.002248 0.787500
303.0 2.000586 0.791819
303.5 1.999016 0.796442
304.0 1.997405 0.801069
304.5 1.995937 0.806232
305.0 1.994542 0.811850
305.5 1.993054 0.817494
306.0 1.991502 0.823159
306.5 1.989935 0.828843
307.0 1.988398 0.834529
307.5 1.986947 0.840205
308.0 1.986061 0.846813
308.5 1.985321 0.853492
309.0 1.984666 0.860140
309.5 1.984088 0.866763
310.0 1.983575 0.873355
310.5 1.983104 0.879922
311.0 1.982471 0.886126
311.5 1.981691 0.892147
312.0 1.980975 0.898430
312.5 1.980225 0.904728
313.0 1.979424 0.911049
313.5 1.978559 0.917393
314.0 1.977602 0.923714
314.5 1.976539 0.929945
315.0 1.975593 0.936441
315.5 1.975048 0.943611
316.0 1.974601 0.950747
316.5 1.974310 0.957836
317.0 1.974398 0.965406
317.5 1.974651 0.972963
318.0 1.975013 0.980470
318.5 1.975387 0.987788
319.0 1.975685 0.994787
319.5 1.976025 1.001754
320.0 1.976460 1.008668
320.5 1.977040 1.015506
321.0 1.977791 1.022264
321.5 1.979310 1.030130
322.0 1.981510 1.038961
322.5 1.983792 1.047715
323.0 1.986129 1.056396
323.5 1.988506 1.065007
324.0 1.991163 1.073733
324.5 1.994309 1.082705
325.0 1.997824 1.091477
325.5 2.001807 1.100015
326.0 2.006188 1.108326
326.5 2.010779 1.116467
327.0 2.015392 1.124504
327.5 2.019935 1.132463
328.0 2.024485 1.140319
328.5 2.029127 1.148004
329.0 2.034014 1.155637
329.5 2.039100 1.163139
330.0 2.044316 1.170537
330.5 2.049611 1.177842
331.0 2.055017 1.185038
331.5 2.060613 1.192177
332.0 2.066443 1.199210
332.5 2.072501 1.206076
333.0 2.078783 1.212773
333.5 2.085274 1.219303
334.0 2.093022 1.227323
334.5 2.101257 1.235843
335.0 2.109462 1.244307
335.5 2.117524 1.252783
336.0 2.125427 1.261340
336.5 2.133332 1.269834
337.0 2.141455 1.278126
337.5 2.150008 1.286083
338.0 2.158874 1.293251
338.5 2.167769 1.299555
339.0 2.176835 1.305710
339.5 2.185903 1.311821
340.0 2.194997 1.317851
340.5 2.204221 1.323707
341.0 2.213752 1.329280
341.5 2.223614 1.334297
342.0 2.233567 1.338619
342.5 2.243686 1.342905
343.0 2.253709 1.347303
343.5 2.263455 1.351915
344.0 2.273022 1.356653
344.5 2.282556 1.361400
345.0 2.292202 1.366044
345.5 2.302106 1.370475
346.0 2.312329 1.374644
346.5 2.322767 1.378618
347.0 2.333310 1.382463
347.5 2.343862 1.386235
348.0 2.354329 1.389884
348.5 2.364697 1.393409
349.0 2.375101 1.396898
349.5 2.385619 1.400307
350.0 2.396318 1.403591
350.5 2.407262 1.406708
351.0 2.418333 1.409344
351.5 2.429599 1.411484
352.0 2.441204 1.413392
352.5 2.453078 1.415117
353.0 2.465125 1.416693
353.5 2.477122 1.417829
354.0 2.489149 1.418852
354.5 2.501257 1.419792
355.0 2.513373 1.420437
355.5 2.525527 1.420754
356.0 2.537883 1.420897
356.5 2.550481 1.420918
