# DOI:Calculated + 10.1002/adma.201703080 
# | wavelength | n | k
300 1.875 0.41415
300.5 1.87433 0.41387
301 1.87369 0.4136
301.5 1.8731 0.41332
302 1.87253 0.41305
302.5 1.87201 0.41278
303 1.87151 0.4125
303.5 1.87105 0.41223
304 1.87062 0.41195
304.5 1.87023 0.41168
305 1.86986 0.4114
305.5 1.86952 0.41113
306 1.86921 0.41086
306.5 1.86893 0.41058
307 1.86868 0.41031
307.5 1.86846 0.41003
308 1.86826 0.40996
308.5 1.86808 0.40998
309 1.86793 0.41
309.5 1.8678 0.41002
310 1.8677 0.41004
310.5 1.86761 0.41006
311 1.86755 0.41008
311.5 1.86751 0.41011
312 1.86749 0.41013
312.5 1.86748 0.41015
313 1.86749 0.41017
313.5 1.86752 0.41019
314 1.86757 0.41021
314.5 1.86763 0.40988
315 1.86771 0.40938
315.5 1.8678 0.40888
316 1.8679 0.40838
316.5 1.86801 0.40788
317 1.86814 0.40738
317.5 1.86827 0.40688
318 1.86842 0.40638
318.5 1.86857 0.40588
319 1.86873 0.40527
319.5 1.8689 0.40452
320 1.86908 0.40378
320.5 1.86926 0.40303
321 1.86944 0.40228
321.5 1.86963 0.40153
322 1.86983 0.40078
322.5 1.87002 0.40004
323 1.87022 0.39929
323.5 1.87041 0.39854
324 1.87061 0.39779
324.5 1.87081 0.39704
325 1.871 0.3963
325.5 1.87119 0.39555
326 1.87138 0.39443
326.5 1.87156 0.39308
327 1.87174 0.39172
327.5 1.87192 0.39036
328 1.87208 0.38901
328.5 1.87224 0.38765
329 1.87239 0.38629
329.5 1.87253 0.38494
330 1.87266 0.3835
330.5 1.87278 0.38156
331 1.87289 0.37962
331.5 1.87299 0.37768
332 1.87308 0.37574
332.5 1.87315 0.37381
333 1.8732 0.37187
333.5 1.87324 0.36993
334 1.87326 0.36759
334.5 1.87327 0.36478
335 1.87326 0.36196
335.5 1.87323 0.35915
336 1.87318 0.35633
336.5 1.87311 0.35352
337 1.87302 0.3507
337.5 1.8729 0.348
338 1.87277 0.34539
338.5 1.87261 0.34278
339 1.87242 0.34017
339.5 1.87221 0.33757
340 1.87197 0.33496
340.5 1.87171 0.33202
341 1.87142 0.32854
341.5 1.8711 0.32506
342 1.87075 0.32159
342.5 1.87037 0.31811
343 1.86997 0.31514
343.5 1.86952 0.31233
344 1.86905 0.30951
344.5 1.86856 0.3067
345 1.86812 0.30389
345.5 1.86772 0.30107
346 1.86735 0.29825
346.5 1.86704 0.296
347 1.86674 0.29385
347.5 1.86649 0.2917
348 1.86624 0.28954
348.5 1.86602 0.28739
349 1.86578 0.28524
349.5 1.86553 0.28308
350 1.86525 0.28099
350.5 1.86493 0.2789
351 1.86457 0.27682
351.5 1.86414 0.27473
352 1.86361 0.27264
352.5 1.86301 0.27056
353 1.86232 0.26847
353.5 1.86151 0.26628
354 1.86058 0.2638
354.5 1.85953 0.26132
355 1.8583 0.25883
355.5 1.85697 0.25635
356 1.85549 0.25397
356.5 1.85389 0.25165
357 1.85215 0.24933
357.5 1.8503 0.24701
358 1.84835 0.24469
358.5 1.84631 0.24238
359 1.8442 0.24005
359.5 1.84204 0.23844
360 1.83986 0.23711
360.5 1.83765 0.23579
361 1.83543 0.23446
361.5 1.83321 0.23313
362 1.831 0.23181
362.5 1.82878 0.23048
363 1.82658 0.23004
363.5 1.82441 0.22984
364 1.82227 0.22963
364.5 1.82017 0.22943
365 1.81811 0.22923
365.5 1.81611 0.22903
366 1.81418 0.22883
366.5 1.81232 0.22862
367 1.81054 0.22842
367.5 1.80886 0.22822
368 1.80727 0.22802
368.5 1.8058 0.22777
369 1.80446 0.22737
369.5 1.80327 0.22698
370 1.80223 0.22659
370.5 1.80135 0.2262
371 1.80063 0.22581
371.5 1.80006 0.22542
372 1.79964 0.22502
372.5 1.79939 0.22463
373 1.79927 0.22424
373.5 1.7993 0.22385
374 1.79947 0.22346
374.5 1.79979 0.22306
375 1.80024 0.22267
375.5 1.80082 0.22228
376 1.80156 0.22189
376.5 1.80238 0.2215
377 1.80328 0.2211
377.5 1.80425 0.22093
378 1.80528 0.22093
378.5 1.80629 0.22093
379 1.8073 0.22092
379.5 1.80829 0.22092
380 1.80924 0.22091
380.5 1.81009 0.22091
381 1.81086 0.2209
381.5 1.81152 0.2209
382 1.81206 0.2209
382.5 1.81248 0.22089
383 1.81279 0.22089
383.5 1.813 0.22089
384 1.81312 0.22088
384.5 1.81316 0.22071
385 1.81311 0.22048
385.5 1.81297 0.22025
386 1.81277 0.22001
386.5 1.81249 0.21978
387 1.81216 0.21955
387.5 1.81177 0.21932
388 1.81134 0.21908
388.5 1.81085 0.21885
389 1.81033 0.21862
389.5 1.80975 0.21828
390 1.80915 0.2179
390.5 1.80851 0.21753
391 1.80784 0.21715
391.5 1.80712 0.21678
392 1.80638 0.2164
392.5 1.80561 0.21603
393 1.80481 0.21565
393.5 1.80398 0.21527
394 1.80313 0.21473
394.5 1.80228 0.21404
395 1.80141 0.21334
395.5 1.80053 0.21264
396 1.79964 0.21194
396.5 1.79876 0.21124
397 1.79786 0.21054
397.5 1.79695 0.20985
398 1.79606 0.20915
398.5 1.79517 0.20845
399 1.79429 0.20775
399.5 1.7934 0.20705
400 1.79252 0.20558
400.5 1.79167 0.20409
401 1.79082 0.2026
401.5 1.78997 0.20111
402 1.78916 0.19961
402.5 1.78835 0.19812
403 1.78757 0.19663
403.5 1.78679 0.19514
404 1.78605 0.19365
404.5 1.78534 0.19215
405 1.78465 0.19066
405.5 1.78401 0.1893
406 1.7834 0.18811
406.5 1.78283 0.18691
407 1.78229 0.18572
407.5 1.78183 0.18452
408 1.78143 0.18333
408.5 1.78108 0.18214
409 1.7808 0.18094
409.5 1.78059 0.17975
410 1.78042 0.17855
410.5 1.78033 0.17736
411 1.78033 0.17616
411.5 1.78037 0.1747
412 1.78048 0.17321
412.5 1.78067 0.17172
413 1.78093 0.17022
413.5 1.78124 0.16873
414 1.78166 0.16724
414.5 1.78212 0.16575
415 1.78264 0.16426
415.5 1.78322 0.16276
416 1.78384 0.16127
416.5 1.78453 0.15978
417 1.78525 0.15829
417.5 1.78599 0.15679
418 1.78678 0.1553
418.5 1.78759 0.15381
419 1.78843 0.15232
419.5 1.78929 0.15083
420 1.79015 0.14934
420.5 1.79102 0.14784
421 1.79188 0.14635
421.5 1.79273 0.14486
422 1.79359 0.14329
422.5 1.79441 0.14158
423 1.79522 0.13988
423.5 1.79599 0.13817
424 1.79674 0.13647
424.5 1.79744 0.13476
425 1.79812 0.13306
425.5 1.79877 0.13136
426 1.79938 0.12965
426.5 1.79996 0.12795
427 1.80052 0.12624
427.5 1.80107 0.12453
428 1.8016 0.12281
428.5 1.8021 0.12109
429 1.8026 0.11936
429.5 1.80308 0.11764
430 1.80358 0.11592
430.5 1.80406 0.1142
431 1.80453 0.11248
431.5 1.80502 0.11076
432 1.8055 0.10904
432.5 1.80602 0.10757
433 1.80656 0.10627
433.5 1.80712 0.10496
434 1.80773 0.10366
434.5 1.80838 0.10235
435 1.80907 0.10105
435.5 1.80983 0.09974
436 1.81062 0.09843
436.5 1.81145 0.09713
437 1.81236 0.09582
437.5 1.81331 0.09452
438 1.8143 0.09321
438.5 1.81538 0.0918
439 1.81648 0.09017
439.5 1.81764 0.08855
440 1.81884 0.08692
440.5 1.82011 0.08529
441 1.82143 0.08367
441.5 1.8228 0.08204
442 1.82421 0.08041
442.5 1.8257 0.07878
443 1.82725 0.07628
443.5 1.82886 0.07363
444 1.83054 0.07098
444.5 1.83228 0.06833
445 1.83405 0.06568
445.5 1.83586 0.06303
446 1.83771 0.06038
446.5 1.83958 0.0583
447 1.84146 0.05625
447.5 1.84337 0.0542
448 1.84528 0.05215
448.5 1.84719 0.0501
449 1.84909 0.04804
449.5 1.85097 0.04601
450 1.85282 0.04398
450.5 1.85463 0.04194
451 1.85641 0.03991
451.5 1.85812 0.03788
452 1.85977 0.03584
452.5 1.86134 0.03381
453 1.86283 0.03178
453.5 1.86424 0.03
454 1.86554 0.02876
454.5 1.86672 0.02752
455 1.86778 0.02627
455.5 1.86872 0.02503
456 1.86953 0.02378
456.5 1.87018 0.02254
457 1.87073 0.0213
457.5 1.87112 0.02005
458 1.87142 0.01893
458.5 1.87158 0.01893
459 1.87166 0.01893
459.5 1.87167 0.01892
460 1.8716 0.01892
460.5 1.87148 0.01892
461 1.87132 0.01891
461.5 1.87114 0.01891
462 1.87093 0.0189
462.5 1.87071 0.0189
463 1.87052 0.0189
463.5 1.87036 0.01892
464 1.8702 0.01899
464.5 1.87008 0.01906
465 1.86998 0.01913
465.5 1.86991 0.0192
466 1.86987 0.01927
466.5 1.86985 0.01934
467 1.86986 0.01941
467.5 1.86991 0.01948
468 1.86997 0.01955
468.5 1.87007 0.01962
469 1.8702 0.01969
469.5 1.87036 0.01976
470 1.8705 0.01984
470.5 1.87064 0.01991
471 1.87078 0.01998
471.5 1.87089 0.02017
472 1.87097 0.02037
472.5 1.87103 0.02057
473 1.87106 0.02077
