# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
300.0 2.142605 0.661167
300.5 2.142708 0.654500
301.0 2.142811 0.655783
301.5 2.142659 0.661167
302.0 2.142506 0.657833
302.5 2.142626 0.664500
303.0 2.142746 0.662533
303.5 2.143129 0.635350
304.0 2.143512 0.565733
304.5 2.143339 0.538783
305.0 2.143165 0.536167
305.5 2.143522 0.537850
306.0 2.143879 0.531033
306.5 2.144685 0.517233
307.0 2.145491 0.503183
307.5 2.146242 0.494750
308.0 2.146993 0.482283
308.5 2.147908 0.491167
309.0 2.148823 0.502433
309.5 2.150195 0.520917
310.0 2.151567 0.528250
310.5 2.152888 0.536233
311.0 2.154208 0.514167
311.5 2.155609 0.499800
312.0 2.157009 0.511650
312.5 2.158793 0.514767
313.0 2.160577 0.526283
313.5 2.162361 0.537583
314.0 2.164145 0.522483
314.5 2.165908 0.514250
315.0 2.167671 0.506750
315.5 2.169377 0.497900
316.0 2.171084 0.504417
316.5 2.172614 0.505100
317.0 2.174144 0.510950
317.5 2.175597 0.512067
318.0 2.177049 0.503300
318.5 2.178490 0.498033
319.0 2.179931 0.493033
319.5 2.181364 0.491800
320.0 2.182797 0.490367
320.5 2.184271 0.489767
321.0 2.185745 0.488400
321.5 2.187264 0.492750
322.0 2.188784 0.493300
322.5 2.189968 0.490783
323.0 2.191153 0.491017
323.5 2.192185 0.485983
324.0 2.193218 0.484367
324.5 2.194892 0.484100
325.0 2.196566 0.482400
325.5 2.198217 0.485683
326.0 2.199868 0.489967
326.5 2.201516 0.493100
327.0 2.203163 0.495100
327.5 2.204770 0.491250
328.0 2.206377 0.492317
328.5 2.207995 0.489950
329.0 2.209613 0.489550
329.5 2.211209 0.490733
330.0 2.212806 0.485867
330.5 2.214168 0.484433
331.0 2.215529 0.482267
331.5 2.216065 0.483000
332.0 2.216601 0.484583
332.5 2.216784 0.484217
333.0 2.216966 0.483433
333.5 2.217148 0.480133
334.0 2.217330 0.476700
334.5 2.217564 0.477933
335.0 2.217798 0.479550
