# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
300.0 2.052023 0.473933
300.5 2.059277 0.494533
301.0 2.066738 0.505750
301.5 2.072532 0.534867
302.0 2.077736 0.545083
302.5 2.083642 0.516200
303.0 2.089442 0.477333
303.5 2.094187 0.452567
304.0 2.098464 0.461817
304.5 2.102882 0.454600
305.0 2.106599 0.469917
305.5 2.108903 0.473100
306.0 2.111040 0.457383
306.5 2.114335 0.447850
307.0 2.118469 0.440383
307.5 2.122825 0.438183
308.0 2.127234 0.427850
308.5 2.131419 0.427000
309.0 2.134217 0.425083
309.5 2.135297 0.429117
310.0 2.138539 0.426550
310.5 2.147034 0.432983
311.0 2.156502 0.428083
311.5 2.162360 0.420150
312.0 2.166171 0.430850
312.5 2.170375 0.434867
313.0 2.174757 0.441333
313.5 2.178612 0.437567
314.0 2.181931 0.430417
314.5 2.184746 0.422533
315.0 2.186558 0.420567
315.5 2.187653 0.424317
316.0 2.191975 0.426683
316.5 2.202520 0.424333
317.0 2.214828 0.422550
317.5 2.223772 0.425217
318.0 2.229013 0.430667
318.5 2.231564 0.437483
319.0 2.233055 0.445067
319.5 2.234920 0.447833
320.0 2.237184 0.445950
320.5 2.239474 0.445833
321.0 2.241222 0.440133
321.5 2.242391 0.440800
322.0 2.245257 0.437833
322.5 2.251498 0.434533
323.0 2.258092 0.435083
323.5 2.261772 0.434417
324.0 2.263000 0.434883
324.5 2.263084 0.440367
325.0 2.263000 0.442133
325.5 2.263451 0.442450
326.0 2.264390 0.447883
326.5 2.265521 0.445733
327.0 2.266300 0.442050
327.5 2.266361 0.443367
328.0 2.266300 0.441233
328.5 2.266596 0.440333
329.0 2.266300 0.446533
329.5 2.264644 0.446600
330.0 2.263000 0.446367
330.5 2.262657 0.443383
331.0 2.262415 0.439750
331.5 2.261047 0.439467
332.0 2.259700 0.440400
332.5 2.259574 0.444367
333.0 2.259700 0.444800
333.5 2.258965 0.444967
334.0 2.257858 0.445567
334.5 2.257043 0.444783
335.0 2.256300 0.444250
335.5 2.255256 0.441817
336.0 2.253819 0.439533
336.5 2.252017 0.439467
337.0 2.250091 0.441583
337.5 2.248263 0.442383
338.0 2.246478 0.443033
338.5 2.244644 0.443533
339.0 2.242807 0.442100
339.5 2.241023 0.441750
340.0 2.239247 0.444200
340.5 2.237431 0.444517
341.0 2.235617 0.446083
341.5 2.233938 0.447883
342.0 2.232800 0.446633
342.5 2.232398 0.445750
343.0 2.231822 0.446433
343.5 2.230254 0.446117
344.0 2.228343 0.444883
344.5 2.226936 0.445467
345.0 2.226200 0.445133
345.5 2.226065 0.444867
346.0 2.226200 0.448500
346.5 2.226270 0.449150
347.0 2.226200 0.447850
347.5 2.226054 0.448083
348.0 2.226200 0.446517
348.5 2.226927 0.445583
349.0 2.227911 0.449017
349.5 2.228768 0.448800
350.0 2.229500 0.450383
350.5 2.230244 0.451700
351.0 2.231292 0.450350
351.5 2.232854 0.451517
352.0 2.234658 0.450917
352.5 2.236389 0.450917
353.0 2.238051 0.453667
353.5 2.239710 0.454200
354.0 2.241371 0.452450
354.5 2.243027 0.453050
355.0 2.244680 0.450783
355.5 2.246332 0.450783
356.0 2.247982 0.451883
356.5 2.249628 0.452783
357.0 2.251267 0.454217
357.5 2.252898 0.454267
358.0 2.254520 0.454783
358.5 2.256136 0.451883
359.0 2.257746 0.449683
359.5 2.259355 0.447617
360.0 2.260970 0.445733
360.5 2.262584 0.448700
361.0 2.264119 0.449217
361.5 2.265446 0.450050
362.0 2.266300 0.451383
362.5 2.266593 0.448750
363.0 2.267088 0.446750
363.5 2.268471 0.447983
364.0 2.270256 0.446667
364.5 2.271841 0.447033
365.0 2.273322 0.448183
365.5 2.274901 0.445817
366.0 2.276506 0.443533
366.5 2.278037 0.442100
367.0 2.279552 0.441383
367.5 2.281118 0.437867
368.0 2.282669 0.439517
368.5 2.284151 0.438750
369.0 2.285694 0.438333
369.5 2.287360 0.447033
370.0 2.288760 0.452517
370.5 2.289524 0.458167
371.0 2.289800 0.463633
371.5 2.289839 0.465950
372.0 2.289800 0.462550
372.5 2.289789 0.458667
373.0 2.289800 0.459067
373.5 2.289807 0.456383
374.0 2.289800 0.454517
374.5 2.289852 0.453783
375.0 2.290338 0.454100
375.5 2.291561 0.454283
376.0 2.293241 0.453067
376.5 2.294934 0.455267
377.0 2.296127 0.451733
377.5 2.296479 0.447783
378.0 2.296400 0.445483
378.5 2.296370 0.439800
379.0 2.296400 0.436917
379.5 2.296407 0.437200
380.0 2.296400 0.438017
380.5 2.296402 0.437483
381.0 2.296400 0.434550
381.5 2.296387 0.434433
382.0 2.296400 0.431533
382.5 2.296452 0.431017
383.0 2.296400 0.429983
383.5 2.296205 0.427500
384.0 2.296400 0.427250
384.5 2.297450 0.426600
385.0 2.298989 0.426600
385.5 2.300508 0.426300
386.0 2.301766 0.423383
386.5 2.302625 0.423217
387.0 2.303100 0.422850
387.5 2.303350 0.420100
388.0 2.303956 0.419567
388.5 2.305293 0.416167
389.0 2.306500 0.412283
389.5 2.306738 0.412000
390.0 2.306500 0.410650
390.5 2.306436 0.409533
391.0 2.306500 0.409883
391.5 2.306517 0.407500
392.0 2.306500 0.407333
392.5 2.306495 0.405717
393.0 2.306500 0.404467
393.5 2.306501 0.403433
394.0 2.306500 0.399000
394.5 2.306500 0.398117
395.0 2.306500 0.395350
395.5 2.306500 0.393450
396.0 2.306500 0.392650
396.5 2.306500 0.389033
397.0 2.306500 0.386850
397.5 2.306500 0.385533
398.0 2.306500 0.384583
398.5 2.306500 0.385233
399.0 2.306500 0.385317
399.5 2.306500 0.383833
400.0 2.306500 0.382700
400.5 2.306500 0.380833
401.0 2.306500 0.379067
401.5 2.306500 0.376250
402.0 2.306500 0.374900
402.5 2.306500 0.373650
403.0 2.306500 0.371850
403.5 2.306500 0.371633
404.0 2.306500 0.370083
404.5 2.306500 0.368717
405.0 2.306500 0.367850
405.5 2.306500 0.366400
406.0 2.306500 0.364100
406.5 2.306500 0.362250
407.0 2.306500 0.360550
407.5 2.306501 0.358617
408.0 2.306500 0.356917
408.5 2.306497 0.355333
409.0 2.306500 0.354367
409.5 2.306512 0.352717
410.0 2.306500 0.352050
410.5 2.306457 0.350750
411.0 2.306500 0.348483
411.5 2.306662 0.346750
412.0 2.306500 0.345633
412.5 2.305635 0.343517
413.0 2.304402 0.342117
413.5 2.303202 0.340233
414.0 2.301970 0.338417
414.5 2.300664 0.336733
415.0 2.299800 0.335133
415.5 2.299755 0.333717
416.0 2.299800 0.332167
416.5 2.299174 0.330950
417.0 2.298093 0.330017
417.5 2.297016 0.329633
418.0 2.296400 0.328283
418.5 2.296454 0.327117
419.0 2.296400 0.326100
419.5 2.295519 0.324733
420.0 2.294330 0.323700
420.5 2.293505 0.323517
421.0 2.293100 0.320750
421.5 2.293010 0.318750
422.0 2.293100 0.317700
422.5 2.293209 0.315933
423.0 2.293100 0.315533
423.5 2.292585 0.314983
424.0 2.291740 0.313683
424.5 2.290689 0.312317
425.0 2.289474 0.311200
425.5 2.288177 0.310233
426.0 2.287122 0.308533
426.5 2.286585 0.307950
427.0 2.286400 0.307050
427.5 2.286344 0.306100
428.0 2.286400 0.305867
428.5 2.286530 0.304000
429.0 2.286400 0.302250
429.5 2.285728 0.300233
430.0 2.284727 0.298400
430.5 2.283659 0.296883
431.0 2.282500 0.296333
431.5 2.281242 0.295700
432.0 2.280235 0.295067
432.5 2.279788 0.294600
433.0 2.279700 0.292633
433.5 2.279624 0.290783
434.0 2.279155 0.289517
434.5 2.278075 0.288317
435.0 2.276987 0.287250
435.5 2.276497 0.286517
436.0 2.276400 0.285367
436.5 2.276369 0.284067
437.0 2.276400 0.283033
437.5 2.276500 0.281983
438.0 2.276400 0.280383
438.5 2.275852 0.279300
439.0 2.274961 0.278367
439.5 2.273901 0.277483
440.0 2.272764 0.276683
440.5 2.271636 0.276250
441.0 2.270657 0.275517
441.5 2.269972 0.273750
442.0 2.269700 0.272683
442.5 2.269811 0.271417
443.0 2.269700 0.270900
443.5 2.268845 0.270150
444.0 2.267626 0.269033
444.5 2.266523 0.267767
445.0 2.265516 0.266483
445.5 2.264490 0.265717
446.0 2.263453 0.265067
446.5 2.262433 0.263917
447.0 2.261402 0.262300
447.5 2.260389 0.261517
448.0 2.259700 0.260067
448.5 2.259572 0.259300
449.0 2.259700 0.259250
449.5 2.259735 0.258267
450.0 2.259700 0.257533
450.5 2.259689 0.256417
451.0 2.259700 0.255000
451.5 2.259708 0.254150
452.0 2.259700 0.253567
452.5 2.259677 0.252917
453.0 2.259700 0.252133
453.5 2.259783 0.251283
454.0 2.259700 0.250633
454.5 2.259234 0.249983
455.0 2.258449 0.249217
455.5 2.257475 0.248900
456.0 2.256435 0.248717
456.5 2.255425 0.248417
457.0 2.254452 0.247483
457.5 2.253556 0.246200
458.0 2.253000 0.245067
458.5 2.252955 0.243950
459.0 2.253000 0.243683
459.5 2.252666 0.243617
460.0 2.251887 0.242317
460.5 2.250790 0.241767
461.0 2.249877 0.241400
461.5 2.249569 0.240683
462.0 2.249600 0.240500
462.5 2.249616 0.239817
463.0 2.249600 0.239183
463.5 2.249602 0.238600
464.0 2.249600 0.238417
464.5 2.249578 0.238567
465.0 2.249600 0.238367
465.5 2.249687 0.237800
466.0 2.249600 0.236900
466.5 2.249114 0.235600
467.0 2.248331 0.234950
467.5 2.247415 0.234950
468.0 2.246457 0.234517
468.5 2.245511 0.234650
469.0 2.244543 0.234300
469.5 2.243570 0.232867
470.0 2.242900 0.232700
470.5 2.242775 0.231767
471.0 2.242900 0.230800
471.5 2.242933 0.231200
472.0 2.242900 0.230567
472.5 2.242892 0.230067
473.0 2.242900 0.229517
473.5 2.242900 0.228200
474.0 2.242900 0.227150
474.5 2.242909 0.226417
475.0 2.242900 0.225700
475.5 2.242866 0.225550
476.0 2.242900 0.224867
476.5 2.243027 0.224250
477.0 2.242900 0.223833
477.5 2.242218 0.224133
478.0 2.241251 0.224500
478.5 2.240325 0.224883
479.0 2.239440 0.225333
479.5 2.238530 0.224650
480.0 2.237609 0.224333
480.5 2.236751 0.224067
481.0 2.236200 0.223533
481.5 2.236121 0.223067
482.0 2.236200 0.222550
482.5 2.236059 0.221750
483.0 2.235552 0.221233
483.5 2.234673 0.221200
484.0 2.233749 0.221483
484.5 2.233113 0.221750
485.0 2.232800 0.222083
485.5 2.232749 0.222183
486.0 2.232800 0.221767
486.5 2.232812 0.221583
487.0 2.232800 0.221050
487.5 2.232803 0.220833
488.0 2.232800 0.220383
488.5 2.232774 0.220117
489.0 2.232800 0.220100
489.5 2.232900 0.218900
490.0 2.232800 0.219183
490.5 2.232272 0.219583
491.0 2.231568 0.219483
491.5 2.230905 0.219733
492.0 2.229873 0.219667
492.5 2.228037 0.219517
493.0 2.225482 0.220050
493.5 2.222579 0.220633
494.0 2.220333 0.221283
494.5 2.219535 0.221200
495.0 2.219500 0.221500
495.5 2.219423 0.221667
496.0 2.219500 0.221633
496.5 2.220062 0.221633
497.0 2.220969 0.220950
497.5 2.221949 0.220767
498.0 2.222675 0.220233
498.5 2.222919 0.220050
499.0 2.222900 0.219883
499.5 2.222887 0.219783
500.0 2.222900 0.220417
500.5 2.222905 0.221350
501.0 2.222900 0.222617
501.5 2.222892 0.223783
502.0 2.222900 0.224750
502.5 2.222925 0.225667
503.0 2.222900 0.226417
503.5 2.222807 0.227550
504.0 2.222900 0.228350
504.5 2.223407 0.229267
505.0 2.224169 0.230367
505.5 2.224972 0.231433
506.0 2.225772 0.232233
