# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
300 2.05202 0.92421
300.5 2.05928 0.91977
301 2.06674 0.91533
301.5 2.07253 0.91167
302 2.07774 0.90801
302.5 2.08364 0.90494
303 2.08944 0.90186
303.5 2.09419 0.89766
304 2.09846 0.89345
304.5 2.10288 0.88976
305 2.1066 0.88607
305.5 2.1089 0.8831
306 2.11104 0.88012
306.5 2.11434 0.87779
307 2.11847 0.87545
307.5 2.12283 0.87184
308 2.12723 0.86822
308.5 2.13142 0.86532
309 2.13422 0.86242
309.5 2.1353 0.85827
310 2.13854 0.85413
310.5 2.14703 0.85179
311 2.1565 0.84945
311.5 2.16236 0.84401
312 2.16617 0.83856
312.5 2.17037 0.83379
313 2.17476 0.82902
313.5 2.17861 0.82516
314 2.18193 0.82131
314.5 2.18475 0.81904
315 2.18656 0.81677
315.5 2.18765 0.81447
316 2.19197 0.81218
316.5 2.20252 0.80785
317 2.21483 0.80352
317.5 2.22377 0.79906
318 2.22901 0.7946
318.5 2.23156 0.79018
319 2.23305 0.78576
319.5 2.23492 0.78137
320 2.23718 0.77698
320.5 2.23947 0.77253
321 2.24122 0.76808
321.5 2.24239 0.76155
322 2.24526 0.75502
322.5 2.2515 0.74691
323 2.25809 0.7388
323.5 2.26177 0.72925
324 2.263 0.71971
324.5 2.26308 0.71572
325 2.263 0.71174
325.5 2.26345 0.70781
326 2.26439 0.70388
326.5 2.26552 0.69749
327 2.2663 0.69111
327.5 2.26636 0.68487
328 2.2663 0.67862
328.5 2.2666 0.6733
329 2.2663 0.66797
329.5 2.26464 0.66269
330 2.263 0.65741
330.5 2.26266 0.65126
331 2.26241 0.64511
331.5 2.26105 0.64061
332 2.2597 0.63611
332.5 2.25957 0.63202
333 2.2597 0.62793
333.5 2.25896 0.62341
334 2.25786 0.61889
334.5 2.25704 0.61182
335 2.2563 0.60475
335.5 2.25526 0.60076
336 2.25382 0.59676
336.5 2.25202 0.59362
337 2.25009 0.59048
337.5 2.24826 0.58646
338 2.24648 0.58244
338.5 2.24464 0.5789
