# DOI:10.1002/adom.202000319 + 10.1002/aenm.201702854 
# | wavelength | n | k
298.0 1.475017 0.055973
298.5 1.476562 0.055933
299.0 1.478080 0.055893
299.5 1.479572 0.055852
300.0 1.481039 0.055812
300.5 1.482481 0.055772
301.0 1.483898 0.055729
301.5 1.485291 0.055684
302.0 1.486660 0.055639
302.5 1.488005 0.055593
303.0 1.489326 0.055548
303.5 1.490624 0.055503
304.0 1.491899 0.055458
304.5 1.493152 0.055412
305.0 1.494382 0.055367
305.5 1.495591 0.055322
306.0 1.496777 0.055277
306.5 1.497942 0.055232
307.0 1.499087 0.055186
307.5 1.500210 0.055141
308.0 1.501313 0.055096
308.5 1.502396 0.055051
309.0 1.503459 0.055005
309.5 1.504502 0.054960
310.0 1.505527 0.054915
310.5 1.506532 0.054870
311.0 1.507519 0.054825
311.5 1.508487 0.054781
312.0 1.509438 0.054831
312.5 1.510371 0.054882
313.0 1.511286 0.054933
313.5 1.512184 0.054983
314.0 1.513066 0.055034
314.5 1.513931 0.055084
315.0 1.514780 0.055135
315.5 1.515613 0.055186
316.0 1.516431 0.055236
316.5 1.517233 0.055287
317.0 1.518021 0.055337
317.5 1.518793 0.055388
318.0 1.519552 0.055439
318.5 1.520296 0.055489
319.0 1.521027 0.055540
319.5 1.521745 0.055590
320.0 1.522449 0.055641
320.5 1.523141 0.055692
321.0 1.523820 0.055742
321.5 1.524487 0.055876
322.0 1.525142 0.056111
322.5 1.525786 0.056345
323.0 1.526418 0.056580
323.5 1.527039 0.056814
324.0 1.527650 0.057049
324.5 1.528251 0.057283
325.0 1.528841 0.057518
325.5 1.529422 0.057752
326.0 1.529993 0.057987
326.5 1.530556 0.058222
327.0 1.531109 0.058456
327.5 1.531654 0.058691
328.0 1.532191 0.058925
328.5 1.532720 0.059160
329.0 1.533242 0.059439
329.5 1.533756 0.059752
330.0 1.534263 0.060064
330.5 1.534764 0.060377
331.0 1.535259 0.060689
331.5 1.535747 0.061002
332.0 1.536230 0.061314
332.5 1.536706 0.061627
333.0 1.537177 0.061939
333.5 1.537641 0.062252
334.0 1.538098 0.062564
334.5 1.538547 0.062877
335.0 1.538989 0.063189
335.5 1.539422 0.063502
336.0 1.539846 0.063815
336.5 1.540262 0.064127
337.0 1.540668 0.064440
337.5 1.541063 0.064752
338.0 1.541449 0.065065
338.5 1.541824 0.065382
339.0 1.542187 0.065775
339.5 1.542539 0.066168
340.0 1.542879 0.066561
340.5 1.543206 0.066954
341.0 1.543521 0.067347
341.5 1.543822 0.067740
342.0 1.544109 0.068133
342.5 1.544383 0.068525
343.0 1.544642 0.068918
343.5 1.544886 0.069311
344.0 1.545115 0.069704
344.5 1.545327 0.070097
345.0 1.545524 0.070495
345.5 1.545704 0.070987
346.0 1.545868 0.071478
346.5 1.546013 0.071970
347.0 1.546141 0.072461
347.5 1.546251 0.072953
348.0 1.546342 0.073444
348.5 1.546414 0.073936
349.0 1.546467 0.074427
349.5 1.546503 0.074919
350.0 1.546525 0.075410
350.5 1.546535 0.075902
351.0 1.546534 0.076393
351.5 1.546526 0.076865
352.0 1.546513 0.077337
352.5 1.546497 0.077809
353.0 1.546480 0.078281
353.5 1.546465 0.078752
354.0 1.546453 0.079224
354.5 1.546448 0.079696
355.0 1.546451 0.080168
355.5 1.546465 0.080640
356.0 1.546492 0.080923
356.5 1.546535 0.081125
357.0 1.546595 0.081328
357.5 1.546675 0.081531
358.0 1.546778 0.081734
358.5 1.546905 0.081937
359.0 1.547059 0.082140
359.5 1.547242 0.082343
360.0 1.547456 0.082546
360.5 1.547705 0.082749
361.0 1.547990 0.082952
361.5 1.548313 0.083155
362.0 1.548676 0.083358
362.5 1.549083 0.083560
363.0 1.549535 0.083763
363.5 1.550034 0.083966
364.0 1.550584 0.083984
364.5 1.551186 0.083977
365.0 1.551842 0.083969
365.5 1.552555 0.083962
366.0 1.553327 0.083955
366.5 1.554161 0.083948
367.0 1.555056 0.083941
367.5 1.556007 0.083934
368.0 1.557003 0.083846
368.5 1.558033 0.083677
369.0 1.559088 0.083507
369.5 1.560158 0.083338
370.0 1.561233 0.083169
370.5 1.562302 0.082999
371.0 1.563356 0.082830
371.5 1.564384 0.082660
372.0 1.565377 0.082491
372.5 1.566324 0.082321
373.0 1.567216 0.082159
373.5 1.568042 0.082024
374.0 1.568793 0.081888
374.5 1.569457 0.081752
375.0 1.570026 0.081616
375.5 1.570494 0.081481
376.0 1.570864 0.081345
376.5 1.571141 0.081209
377.0 1.571332 0.081073
377.5 1.571441 0.080938
378.0 1.571475 0.080802
378.5 1.571438 0.080667
379.0 1.571336 0.080566
379.5 1.571174 0.080465
380.0 1.570958 0.080364
380.5 1.570694 0.080263
381.0 1.570386 0.080162
381.5 1.570040 0.080061
382.0 1.569662 0.079960
382.5 1.569257 0.079859
383.0 1.568830 0.079758
383.5 1.568387 0.079657
384.0 1.567934 0.079556
384.5 1.567475 0.079455
385.0 1.567017 0.079354
385.5 1.566559 0.079253
