# DOI:10.1080/14686996.2018.1530050 + 10.1002/aenm.201702854 
# | wavelength | n | k
293.0 1.886191 0.048766
293.5 1.884998 0.049176
294.0 1.883795 0.049585
294.5 1.882580 0.049995
295.0 1.881353 0.050404
295.5 1.880112 0.050814
296.0 1.878855 0.051223
296.5 1.877580 0.051632
297.0 1.876287 0.052042
297.5 1.874974 0.052451
298.0 1.873639 0.052861
298.5 1.872281 0.053270
299.0 1.870901 0.053679
299.5 1.869498 0.054087
300.0 1.868074 0.054489
300.5 1.866629 0.054891
301.0 1.865165 0.055293
301.5 1.863683 0.055695
302.0 1.862182 0.056097
302.5 1.860665 0.056499
303.0 1.859131 0.056901
303.5 1.857582 0.057303
304.0 1.856018 0.057704
304.5 1.854441 0.058106
305.0 1.852851 0.058508
305.5 1.851242 0.058910
306.0 1.849604 0.059312
306.5 1.847925 0.059714
307.0 1.846193 0.060116
307.5 1.844396 0.060518
308.0 1.842524 0.060920
308.5 1.840565 0.061468
309.0 1.838506 0.062114
309.5 1.836337 0.062760
310.0 1.834046 0.063405
310.5 1.831622 0.064051
311.0 1.829052 0.064696
311.5 1.826325 0.065342
312.0 1.823431 0.065987
312.5 1.820377 0.066633
313.0 1.817192 0.067231
313.5 1.813902 0.067738
314.0 1.810535 0.068245
314.5 1.807121 0.068751
315.0 1.803687 0.069258
315.5 1.800260 0.069765
316.0 1.796869 0.070271
316.5 1.793542 0.070778
317.0 1.790308 0.071284
317.5 1.787192 0.071791
318.0 1.784208 0.072277
318.5 1.781351 0.072627
319.0 1.778612 0.072978
319.5 1.775986 0.073328
320.0 1.773465 0.073678
320.5 1.771044 0.074029
321.0 1.768715 0.074379
321.5 1.766472 0.074729
322.0 1.764308 0.075080
322.5 1.762216 0.075317
323.0 1.760190 0.075520
323.5 1.758223 0.075722
324.0 1.756309 0.075925
324.5 1.754440 0.076128
325.0 1.752602 0.076331
325.5 1.750771 0.076534
326.0 1.748924 0.076737
326.5 1.747038 0.076862
327.0 1.745088 0.076865
327.5 1.743051 0.076869
328.0 1.740903 0.076873
328.5 1.738620 0.076877
329.0 1.736179 0.076881
329.5 1.733556 0.076885
330.0 1.730727 0.076888
330.5 1.727669 0.076892
331.0 1.724358 0.076896
331.5 1.720798 0.076900
332.0 1.717058 0.076904
332.5 1.713215 0.076907
333.0 1.709346 0.076804
333.5 1.705528 0.076495
334.0 1.701838 0.076187
334.5 1.698353 0.075879
335.0 1.695141 0.075571
335.5 1.692203 0.075263
336.0 1.689512 0.074955
336.5 1.687044 0.074647
337.0 1.684771 0.074339
337.5 1.682667 0.074031
338.0 1.680707 0.073747
338.5 1.678865 0.073464
339.0 1.677113 0.073180
339.5 1.675427 0.072896
340.0 1.673779 0.072613
340.5 1.672144 0.072329
341.0 1.670496 0.072046
341.5 1.668808 0.071762
342.0 1.667055 0.071479
342.5 1.665210 0.071195
343.0 1.663247 0.070911
343.5 1.661141 0.070627
344.0 1.658876 0.070341
344.5 1.656471 0.070056
345.0 1.653949 0.069771
345.5 1.651332 0.069486
346.0 1.648642 0.069201
346.5 1.645903 0.068916
347.0 1.643137 0.068631
347.5 1.640366 0.068346
348.0 1.637614 0.068060
348.5 1.634903 0.067775
349.0 1.632255 0.067490
349.5 1.629693 0.067205
350.0 1.627241 0.066841
350.5 1.624919 0.066445
351.0 1.622751 0.066048
351.5 1.620745 0.065651
352.0 1.618891 0.065254
352.5 1.617178 0.064857
353.0 1.615594 0.064461
353.5 1.614130 0.064064
354.0 1.612773 0.063715
354.5 1.611514 0.063489
355.0 1.610340 0.063263
355.5 1.609242 0.063036
356.0 1.608209 0.062810
356.5 1.607228 0.062584
357.0 1.606290 0.062357
357.5 1.605383 0.062131
358.0 1.604497 0.061905
358.5 1.603621 0.061678
359.0 1.602743 0.061452
359.5 1.601853 0.061226
360.0 1.600939 0.060999
360.5 1.599994 0.060773
361.0 1.599016 0.060568
361.5 1.598009 0.060419
362.0 1.596974 0.060269
362.5 1.595912 0.060120
363.0 1.594828 0.059970
363.5 1.593722 0.059821
364.0 1.592596 0.059672
364.5 1.591453 0.059522
365.0 1.590295 0.059373
365.5 1.589124 0.059223
366.0 1.587942 0.059074
366.5 1.586751 0.058924
367.0 1.585553 0.058775
367.5 1.584351 0.058625
368.0 1.583146 0.058476
368.5 1.581941 0.058327
369.0 1.580738 0.058177
369.5 1.579539 0.058003
370.0 1.578345 0.057803
370.5 1.577160 0.057603
371.0 1.575984 0.057403
371.5 1.574820 0.057202
372.0 1.573665 0.057002
372.5 1.572521 0.056802
373.0 1.571385 0.056602
373.5 1.570258 0.056402
374.0 1.569139 0.056202
374.5 1.568028 0.056001
375.0 1.566925 0.055801
375.5 1.565828 0.055601
376.0 1.564737 0.055401
376.5 1.563652 0.055201
377.0 1.562572 0.055001
377.5 1.561497 0.054800
378.0 1.560427 0.054600
378.5 1.559360 0.054400
379.0 1.558296 0.054200
379.5 1.557236 0.054000
380.0 1.556177 0.053879
380.5 1.555121 0.053762
381.0 1.554066 0.053646
381.5 1.553011 0.053529
382.0 1.551957 0.053412
382.5 1.550904 0.053296
383.0 1.549853 0.053179
383.5 1.548805 0.053062
384.0 1.547762 0.052946
384.5 1.546723 0.052829
385.0 1.545692 0.052712
385.5 1.544668 0.052596
386.0 1.543653 0.052479
386.5 1.542649 0.052362
387.0 1.541656 0.052246
387.5 1.540676 0.052129
388.0 1.539709 0.052012
388.5 1.538757 0.051896
389.0 1.537822 0.051779
389.5 1.536903 0.051662
390.0 1.536004 0.051546
390.5 1.535123 0.051429
391.0 1.534264 0.051312
391.5 1.533426 0.051224
392.0 1.532609 0.051152
392.5 1.531812 0.051080
393.0 1.531034 0.051008
393.5 1.530273 0.050936
394.0 1.529529 0.050864
394.5 1.528800 0.050792
395.0 1.528086 0.050720
395.5 1.527386 0.050648
396.0 1.526698 0.050576
396.5 1.526022 0.050504
397.0 1.525356 0.050432
397.5 1.524700 0.050360
398.0 1.524053 0.050288
398.5 1.523412 0.050216
399.0 1.522779 0.050144
399.5 1.522150 0.050072
400.0 1.521526 0.050000
400.5 1.520902 0.049928
401.0 1.520275 0.049857
401.5 1.519641 0.049814
402.0 1.518997 0.049771
402.5 1.518340 0.049727
403.0 1.517665 0.049684
403.5 1.516969 0.049640
404.0 1.516250 0.049597
404.5 1.515502 0.049553
405.0 1.514723 0.049510
405.5 1.513909 0.049467
406.0 1.513057 0.049423
406.5 1.512163 0.049380
407.0 1.511224 0.049336
407.5 1.510235 0.049293
408.0 1.509194 0.049249
408.5 1.508098 0.049206
409.0 1.506945 0.049163
409.5 1.505740 0.049119
410.0 1.504487 0.049076
410.5 1.503189 0.049032
411.0 1.501850 0.048988
411.5 1.500475 0.048941
412.0 1.499067 0.048895
