# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0.511299 0.176491 0.312208
301 0.527226 0.165365 0.307408
302 0.543072 0.154412 0.302514
303 0.558805 0.14367 0.297524
304 0.574381 0.13319 0.292427
305 0.589805 0.122974 0.28722
306 0.605043 0.113068 0.281887
307 0.620072 0.103506 0.27642
308 0.634885 0.094313 0.2708
309 0.649476 0.085512 0.265011
310 0.663847 0.077123 0.259029
311 0.673331 0.068226 0.258442
312 0.681498 0.060391 0.25811
313 0.688354 0.0536 0.258044
314 0.693941 0.047812 0.258245
315 0.698305 0.042979 0.258715
316 0.70152 0.039027 0.259452
317 0.703674 0.035893 0.260432
318 0.704866 0.033486 0.261647
319 0.705215 0.031719 0.263064
320 0.704845 0.030508 0.264645
321 0.69681 0.033268 0.26992
322 0.690282 0.036185 0.273531
323 0.685427 0.039261 0.275311
324 0.682392 0.042507 0.275099
325 0.681303 0.045943 0.272752
326 0.682259 0.049591 0.268149
327 0.685321 0.053478 0.2612
328 0.690517 0.057635 0.251846
329 0.697828 0.062092 0.240078
330 0.707195 0.066884 0.22592
331 0.710692 0.072266 0.217041
332 0.714085 0.077985 0.207928
333 0.717286 0.08405 0.198663
334 0.720215 0.09047 0.189314
335 0.722803 0.097252 0.179944
336 0.724998 0.104404 0.170597
337 0.726744 0.111942 0.161313
338 0.728014 0.119845 0.152139
339 0.728769 0.128134 0.143095
340 0.728964 0.13684 0.134195
341 0.727264 0.142419 0.130316
342 0.725304 0.148172 0.126523
343 0.723102 0.154072 0.122825
344 0.720682 0.16009 0.119226
345 0.718008 0.166281 0.115709
346 0.715126 0.172585 0.112287
347 0.711995 0.17906 0.108943
348 0.708666 0.185643 0.10569
349 0.705095 0.192393 0.102511
350 0.701311 0.199277 0.099411
351 0.698356 0.204452 0.09719
352 0.695257 0.209729 0.095013
353 0.692077 0.215039 0.092882
354 0.688761 0.220449 0.090789
355 0.685365 0.225886 0.088748
356 0.681838 0.231422 0.086738
357 0.67824 0.236981 0.084778
358 0.674515 0.242635 0.082848
359 0.670728 0.248309 0.080961
360 0.666814 0.254074 0.079111
361 0.66474 0.256861 0.078397
362 0.662644 0.259658 0.077697
363 0.660532 0.262465 0.077002
364 0.658398 0.265281 0.076319
365 0.656247 0.268106 0.075646
366 0.654081 0.27094 0.074977
367 0.651895 0.273782 0.074321
368 0.64966 0.276672 0.073666
369 0.647441 0.27953 0.073027
370 0.645209 0.282397 0.072392
371 0.643496 0.284442 0.07206
372 0.641779 0.286491 0.071729
373 0.640052 0.288543 0.071403
374 0.638322 0.290598 0.071078
375 0.636585 0.292657 0.070756
376 0.634805 0.294756 0.070437
377 0.633056 0.296821 0.070122
378 0.631299 0.298887 0.069812
379 0.62954 0.300956 0.069503
380 0.627772 0.303027 0.069199
381 0.625113 0.306505 0.06838
382 0.6224 0.31003 0.067568
383 0.619705 0.313524 0.06677
384 0.616956 0.317063 0.06598
385 0.61419 0.320609 0.0652
386 0.611445 0.324121 0.064432
387 0.608649 0.327678 0.063672
388 0.605874 0.331201 0.062924
389 0.603048 0.334767 0.062183
390 0.600246 0.338298 0.061454
391 0.597745 0.341688 0.060565
392 0.59523 0.345081 0.059687
393 0.592664 0.348517 0.058817
394 0.590124 0.351915 0.05796
395 0.587571 0.355315 0.057112
396 0.585007 0.358717 0.056275
397 0.58243 0.362119 0.05545
398 0.579806 0.365563 0.054629
399 0.577211 0.368967 0.053821
400 0.574606 0.372371 0.053021
401 0.571329 0.376035 0.052635
402 0.56801 0.379737 0.052252
403 0.564727 0.383397 0.051875
404 0.561403 0.387094 0.051501
405 0.558117 0.390748 0.051134
406 0.55479 0.394439 0.050769
407 0.551502 0.398086 0.05041
408 0.548176 0.401769 0.050054
409 0.544889 0.405406 0.049704
410 0.541602 0.409038 0.049358
