# Parameter sweep (sweep_back)
# Simulation    : driftdiffusion
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
1.8 307.699 -307.699
1.775 299.955 -299.955
1.75 292.086 -292.086
1.725 284.085 -284.085
1.7 275.951 -275.951
1.675 267.679 -267.679
1.65 259.265 -259.265
1.625 250.703 -250.703
1.6 241.986 -241.986
1.575 233.101 -233.101
1.55 224.031 -224.031
1.525 214.747 -214.747
1.5 205.206 -205.206
1.475 195.345 -195.345
1.45 185.076 -185.076
1.425 174.291 -174.291
1.4 162.861 -162.861
1.375 150.658 -150.658
1.35 137.571 -137.571
1.325 123.552 -123.552
1.3 108.659 -108.659
1.275 93.1103 -93.1103
1.25 77.2995 -77.2995
1.225 61.7654 -61.7654
1.2 47.1143 -47.1143
1.175 33.9167 -33.9167
1.15 22.6032 -22.6032
1.125 13.3872 -13.3872
1.1 6.23885 -6.23885
1.075 0.923453 -0.923453
1.05 -2.91336 2.91336
1.025 -5.65086 5.65086
1 -7.62412 7.62412
0.975 -9.09175 9.09175
0.95 -10.2336 10.2336
0.925 -11.1644 11.1644
0.9 -11.9532 11.9532
0.875 -12.6404 12.6404
0.85 -13.2499 13.2499
0.825 -13.7965 13.7965
0.8 -14.2904 14.2904
0.775 -14.7389 14.7389
0.75 -15.1478 15.1478
0.725 -15.522 15.522
0.7 -15.8653 15.8653
0.675 -16.1813 16.1813
0.65 -16.4728 16.4728
0.625 -16.7424 16.7424
0.6 -16.9923 16.9923
0.575 -17.2246 17.2246
0.55 -17.4409 17.4409
0.525 -17.6427 17.6427
0.5 -17.8314 17.8314
0.475 -18.0083 18.0083
0.45 -18.1742 18.1742
0.425 -18.3303 18.3303
0.4 -18.4772 18.4772
0.375 -18.6158 18.6158
0.35 -18.7468 18.7468
0.325 -18.8708 18.8708
0.3 -18.9882 18.9882
0.275 -19.0996 19.0996
0.25 -19.2055 19.2055
0.225 -19.3062 19.3062
0.2 -19.4021 19.4021
0.175 -19.4936 19.4936
0.15 -19.5809 19.5809
0.125 -19.6644 19.6644
0.1 -19.7442 19.7442
0.075 -19.8206 19.8206
0.05 -19.8939 19.8939
0.025 -19.9642 19.9642
0 -20.0317 20.0317
