# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0.387101 0.13362 0.479277
301 0.401642 0.125976 0.47238
302 0.416605 0.118454 0.46494
303 0.431993 0.111066 0.456939
304 0.44779 0.103836 0.448372
305 0.464035 0.096751 0.439213
306 0.480713 0.089834 0.429452
307 0.497815 0.083098 0.419085
308 0.515345 0.076555 0.408098
309 0.533298 0.070216 0.396485
310 0.551668 0.06409 0.38424
311 0.568404 0.057594 0.374
312 0.585218 0.051859 0.362922
313 0.602075 0.046881 0.351042
314 0.61896 0.042646 0.338392
315 0.635841 0.039135 0.325023
316 0.652728 0.036313 0.310957
317 0.669548 0.034152 0.296299
318 0.686323 0.032605 0.281071
319 0.703037 0.031621 0.26534
320 0.719672 0.03115 0.249176
321 0.718068 0.034283 0.247647
322 0.717269 0.037599 0.24513
323 0.717292 0.041086 0.24162
324 0.718148 0.044734 0.237116
325 0.719855 0.048543 0.2316
326 0.722439 0.052511 0.225048
327 0.725917 0.056646 0.217436
328 0.730322 0.060957 0.208719
329 0.735681 0.06546 0.198858
330 0.742031 0.070178 0.187789
331 0.737192 0.07496 0.187846
332 0.732578 0.080004 0.187416
333 0.728169 0.085325 0.186505
334 0.723944 0.090938 0.185117
335 0.71988 0.096858 0.183261
336 0.715964 0.103103 0.180931
337 0.712162 0.109696 0.17814
338 0.708491 0.116631 0.174876
339 0.704909 0.123939 0.17115
340 0.701365 0.131659 0.166974
341 0.696901 0.136473 0.166625
342 0.692379 0.141446 0.166174
343 0.687828 0.146556 0.165614
344 0.683278 0.151781 0.164939
345 0.678663 0.157169 0.164166
346 0.674046 0.162671 0.163281
347 0.669359 0.168338 0.162301
348 0.664667 0.174117 0.161214
349 0.659903 0.180062 0.160034
350 0.655097 0.186145 0.158756
351 0.651381 0.1907 0.157917
352 0.647605 0.195354 0.157039
353 0.643845 0.200052 0.156101
354 0.640028 0.204851 0.155119
355 0.636218 0.209688 0.154092
356 0.632356 0.214627 0.153016
357 0.6285 0.219602 0.151897
358 0.624592 0.224677 0.15073
359 0.620695 0.229787 0.149516
360 0.616736 0.234993 0.14827
361 0.614412 0.237414 0.148173
362 0.61208 0.239844 0.148074
363 0.609751 0.242287 0.147961
364 0.607414 0.244738 0.147846
365 0.605076 0.2472 0.147723
366 0.60274 0.249673 0.147585
367 0.600397 0.252155 0.147447
368 0.598022 0.254681 0.147296
369 0.595676 0.257181 0.147142
370 0.593333 0.259692 0.146974
371 0.591398 0.261413 0.147187
372 0.589468 0.26314 0.14739
373 0.587536 0.264868 0.147595
374 0.585608 0.266601 0.14779
375 0.583683 0.268336 0.14798
376 0.581718 0.270107 0.148174
377 0.579795 0.271848 0.148355
378 0.577869 0.27359 0.148539
379 0.575949 0.275337 0.148713
380 0.574026 0.277084 0.148889
381 0.571505 0.28022 0.148274
382 0.568945 0.283403 0.14765
383 0.566418 0.286565 0.147016
384 0.563853 0.289773 0.146373
385 0.561285 0.292992 0.145721
386 0.558751 0.296188 0.145059
387 0.556179 0.29943 0.144389
388 0.553641 0.302647 0.14371
389 0.551065 0.30591 0.143023
390 0.548524 0.309147 0.142328
391 0.546417 0.312347 0.141235
392 0.544306 0.315559 0.140134
393 0.542157 0.318816 0.139026
394 0.54004 0.322048 0.13791
395 0.53792 0.325291 0.136787
396 0.535798 0.328543 0.135658
397 0.533668 0.331802 0.134529
398 0.531504 0.335109 0.133386
399 0.529373 0.338388 0.132237
400 0.52724 0.341676 0.131083
401 0.524137 0.344974 0.130888
402 0.521003 0.348311 0.130685
403 0.51791 0.351613 0.130476
404 0.514788 0.354952 0.130259
405 0.511707 0.358256 0.130036
406 0.508597 0.361597 0.129805
407 0.505529 0.364901 0.129568
408 0.502432 0.368242 0.129325
409 0.499378 0.371545 0.129075
410 0.496331 0.374848 0.12882
411 0.493881 0.377946 0.128172
412 0.491437 0.381048 0.127513
413 0.489029 0.384111 0.126859
414 0.486592 0.387213 0.126193
415 0.48419 0.390276 0.125532
416 0.481761 0.393377 0.12486
417 0.479335 0.396478 0.124185
418 0.476945 0.399539 0.123515
419 0.474527 0.402637 0.122834
420 0.472145 0.405695 0.122159
421 0.470073 0.40848 0.121445
422 0.46804 0.411228 0.120731
423 0.465974 0.414011 0.120013
424 0.463947 0.416756 0.119296
425 0.461922 0.419498 0.118578
426 0.459867 0.422275 0.117856
427 0.457849 0.425013 0.117136
428 0.455804 0.427789 0.116406
429 0.453793 0.430522 0.115683
430 0.451752 0.433289 0.114958
431 0.449915 0.435498 0.114586
432 0.448051 0.437743 0.114204
433 0.446223 0.439946 0.11383
434 0.444369 0.442184 0.113446
435 0.442553 0.444382 0.113064
436 0.440704 0.446609 0.112685
437 0.438898 0.4488 0.112301
438 0.437062 0.451022 0.111914
439 0.435262 0.453202 0.111535
440 0.433436 0.455416 0.111146
441 0.431624 0.457908 0.110466
442 0.42978 0.460428 0.109791
443 0.427976 0.462912 0.109111
444 0.426143 0.465426 0.108429
445 0.424344 0.467898 0.107756
446 0.42252 0.470405 0.107074
447 0.420732 0.472871 0.106395
448 0.418917 0.475368 0.105714
449 0.417135 0.477821 0.105042
450 0.415328 0.480309 0.104362
451 0.41359 0.482791 0.103617
452 0.411857 0.485269 0.102873
453 0.410127 0.487742 0.10213
454 0.408402 0.490209 0.101387
455 0.40668 0.492672 0.100646
456 0.404963 0.49513 0.099905
457 0.40325 0.497582 0.099166
458 0.401542 0.50003 0.098427
459 0.399869 0.502437 0.097693
460 0.398169 0.504873 0.096956
461 0.39658 0.507144 0.096275
462 0.39503 0.509378 0.095591
463 0.393483 0.511608 0.094908
464 0.391906 0.513863 0.09423
465 0.390367 0.516082 0.093549
466 0.388832 0.518296 0.09287
467 0.387267 0.520535 0.092196
468 0.38574 0.522738 0.09152
469 0.384217 0.524936 0.090845
470 0.382665 0.527159 0.090175
