# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_Poynting
# 5 External_Source_ElectricField
# 6 Energy_Loss
# 7 Transmission
# 8 Reflection
# 9 Absorption
# 10 Generation_regions
# x GenerationRate Intensity External_Source_Poynting External_Source_ElectricField Energy_Loss Transmission Reflection Absorption Generation_regions 
0 0 492.985 25.4537 9340.69 0 0 0 0 0 
0.001 0 483.643 25.4537 9281.65 0 0 0 0 0 
0.002 0 465.095 25.4537 9162.82 0 0 0 0 0 
0.003 0 446.821 25.4537 9042.49 0 0 0 0 0 
0.004 0 428.834 25.4537 8920.67 0 0 0 0 0 
0.005 0 411.142 25.4537 8797.39 0 0 0 0 0 
0.006 0 393.756 25.4537 8672.65 0 0 0 0 0 
0.007 0 376.685 25.4537 8546.49 0 0 0 0 0 
0.008 0 359.94 25.4537 8418.92 0 0 0 0 0 
0.009 0 343.53 25.4537 8289.95 0 0 0 0 0 
0.01 0 335.409 25.4537 8225.13 0 0 0 0 0 
0.01 9.71305e+21 49.7141 4.96735 8094.11 3.87311e+20 0 0 0 0 
0.011 9.47486e+21 48.5999 4.8115 8030.59 3.78188e+20 0 0 0 0 
0.012 9.01814e+21 46.4611 4.50886 7908.17 3.60684e+20 0 0 0 0 
0.013 8.59943e+21 44.4961 4.22366 7794.92 3.44616e+20 0 0 0 0 
0.014 8.21623e+21 42.6941 3.95451 7690.73 3.29892e+20 0 0 0 0 
0.015 7.86624e+21 41.0449 3.70013 7595.48 3.16428e+20 0 0 0 0 
0.016 7.54736e+21 39.5397 3.4593 7509.09 3.04147e+20 0 0 0 0 
0.017 7.25768e+21 38.1698 3.2309 7431.46 2.92979e+20 0 0 0 0 
0.018 6.99545e+21 36.9279 3.01385 7362.54 2.8286e+20 0 0 0 0 
0.019 6.75911e+21 35.8069 2.80716 7302.25 2.73731e+20 0 0 0 0 
0.02 6.54723e+21 34.8007 2.60987 7250.56 2.6554e+20 0 0 0 0 
0.021 6.35853e+21 33.9035 2.42108 7207.41 2.58239e+20 0 0 0 0 
0.022 6.19187e+21 33.1102 2.23994 7172.77 2.51787e+20 0 0 0 0 
0.023 6.04623e+21 32.4165 2.06563 7146.65 2.46145e+20 0 0 0 0 
0.024 5.92073e+21 31.8183 1.89738 7129.02 2.41281e+20 0 0 0 0 
0.025 5.81459e+21 31.3121 1.73443 7119.89 2.37166e+20 0 0 0 0 
0.026 5.72716e+21 30.895 1.57606 7119.27 2.33775e+20 0 0 0 0 
0.027 5.65789e+21 30.5645 1.42157 7127.2 2.31088e+20 0 0 0 0 
0.028 5.60634e+21 30.3186 1.27029 7143.71 2.29088e+20 0 0 0 0 
0.029 5.57217e+21 30.1556 1.12154 7168.84 2.27763e+20 0 0 0 0 
0.03 5.5594e+21 30.0947 1.04772 7183.58 2.27267e+20 0 0 0 0 
0.03 0 186.868 19.7516 7221.76 0 0 0 0 0 
0.031 0 186.868 19.7516 7242.75 0 0 0 0 0 
0.032 0 186.868 19.7516 7284.13 0 0 0 0 0 
0.033 0 186.868 19.7516 7324.31 0 0 0 0 0 
0.034 0 186.868 19.7516 7363.3 0 0 0 0 0 
0.035 0 186.868 19.7516 7401.09 0 0 0 0 0 
0.036 0 186.868 19.7516 7437.67 0 0 0 0 0 
0.037 0 186.868 19.7516 7473.05 0 0 0 0 0 
0.038 0 186.868 19.7516 7507.21 0 0 0 0 0 
0.039 0 186.868 19.7516 7540.17 0 0 0 0 0 
0.04 0 186.868 19.7516 7556.34 0 0 0 0 0 
