# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 AVT
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection AVT 
0 0 518.878 10675 0 0 0 
1 0 517.632 10668.7 0 0 0 
2 0 515.199 10655.6 0 0 0 
3 0 512.885 10641 0 0 0 
4 0 510.69 10625.1 0 0 0 
5 0 508.618 10607.8 0 0 0 
6 0 506.668 10589.1 0 0 0 
7 0 504.842 10569.1 0 0 0 
8 0 503.142 10547.7 0 0 0 
9 0 501.568 10524.9 0 0 0 
10 0 500.122 10500.8 0 0 0 
11 0 498.804 10475.4 0 0 0 
12 0 497.616 10448.6 0 0 0 
13 0 496.557 10420.5 0 0 0 
14 0 495.63 10391 0 0 0 
15 0 494.833 10360.2 0 0 0 
16 0 494.169 10328.1 0 0 0 
17 0 493.637 10294.7 0 0 0 
18 0 493.238 10259.9 0 0 0 
19 0 492.971 10223.9 0 0 0 
20 0 492.871 10205.6 0 0 0 
20 0 719.112 10167.6 0 0 0 
21.0041 0 719.11 10147.6 0 0 0 
22.0182 0 719.1 10105.8 0 0 0 
23.0425 0 719.08 10060.8 0 0 0 
24.0771 0 719.05 10012.4 0 0 0 
25.1221 0 719.009 9960.7 0 0 0 
26.1776 0 718.957 9905.51 0 0 0 
27.2437 0 718.893 9846.78 0 0 0 
28.3205 0 718.819 9784.44 0 0 0 
29.4081 0 718.733 9718.44 0 0 0 
30.5066 0 718.635 9648.69 0 0 0 
31.6161 0 718.525 9575.14 0 0 0 
32.7368 0 718.403 9497.71 0 0 0 
33.8687 0 718.268 9416.34 0 0 0 
35.012 0 718.122 9330.97 0 0 0 
36.1668 0 717.963 9241.53 0 0 0 
37.3332 0 717.792 9147.97 0 0 0 
38.5112 0 717.608 9050.22 0 0 0 
39.7011 0 717.411 8948.23 0 0 0 
40.903 0 717.203 8841.95 0 0 0 
42.1169 0 716.982 8731.33 0 0 0 
43.343 0 716.749 8616.31 0 0 0 
44.5814 0 716.504 8496.85 0 0 0 
45.8323 0 716.247 8372.91 0 0 0 
47.0957 0 715.979 8244.45 0 0 0 
48.3718 0 715.699 8111.43 0 0 0 
49.6607 0 715.409 7973.83 0 0 0 
50.9625 0 715.108 7831.62 0 0 0 
52.2774 0 714.797 7684.78 0 0 0 
53.6055 0 714.477 7533.28 0 0 0 
54.947 0 714.147 7377.13 0 0 0 
56.3019 0 713.809 7216.3 0 0 0 
57.6704 0 713.464 7050.81 0 0 0 
59.0526 0 713.111 6880.64 0 0 0 
