# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
-300 0 1098.71 20850.8 0 0 0 
-295 0 1080.64 20733.1 0 0 0 
-290 0 1042.54 20462 0 0 0 
-285 0 1000.75 20119.9 0 0 0 
-280 0 955.725 19707.8 0 0 0 
-275 0 907.977 19227 0 0 0 
-270 0 858.092 18679.2 0 0 0 
-265 0 806.711 18066.2 0 0 0 
-260 0 754.524 17390.4 0 0 0 
-255 0 702.255 16654.1 0 0 0 
-250 0 650.65 15860.4 0 0 0 
-245 0 600.466 15012.2 0 0 0 
-240 0 552.451 14112.9 0 0 0 
-235 0 507.337 13166 0 0 0 
-230 0 465.818 12175.3 0 0 0 
-225 0 428.544 11144.9 0 0 0 
-220 0 396.101 10078.8 0 0 0 
-215 0 369.005 8981.41 0 0 0 
-210 0 347.686 7857.14 0 0 0 
-205 0 332.486 6710.53 0 0 0 
-200 0 326.452 6132.22 0 0 0 
-200 6.66343e+20 651.337 4960.22 0 0 0 
-195 6.59254e+20 648.612 4364.51 0 0 0 
-190 6.43404e+20 642.759 3166.84 0 0 0 
-185 6.24582e+20 636.232 1966.88 0 0 0 
-180 6.03911e+20 629.343 784.354 0 0 0 
-175 5.83217e+20 622.466 -362.506 0 0 0 
-170 5.64796e+20 616.01 -1457.36 0 0 0 
-165 5.51075e+20 610.39 -2486.01 0 0 0 
-160 5.44196e+20 606.002 -3436.61 0 0 0 
-155 5.45597e+20 603.204 -4299.76 0 0 0 
-150 5.55658e+20 602.309 -5068.56 0 0 0 
-145 5.73497e+20 603.583 -5738.53 0 0 0 
-140 5.96948e+20 607.258 -6307.49 0 0 0 
-135 6.2277e+20 613.54 -6775.43 0 0 0 
-130 6.47053e+20 622.619 -7144.28 0 0 0 
-125 6.65785e+20 634.674 -7417.61 0 0 0 
-120 6.75488e+20 649.855 -7600.42 0 0 0 
-115 6.73826e+20 668.253 -7698.79 0 0 0 
-110 6.60074e+20 689.851 -7719.64 0 0 0 
