# Parameter sweep (sweep_back)
# Simulation    : driftdiffusion
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
1.8 307.716 -307.716
1.775 299.975 -299.975
1.75 292.107 -292.107
1.725 284.109 -284.109
1.7 275.977 -275.977
1.675 267.708 -267.708
1.65 259.297 -259.297
1.625 250.738 -250.738
1.6 242.025 -242.025
1.575 233.144 -233.144
1.55 224.078 -224.078
1.525 214.799 -214.799
1.5 205.262 -205.262
1.475 195.404 -195.404
1.45 185.139 -185.139
1.425 174.357 -174.357
1.4 162.93 -162.93
1.375 150.729 -150.729
1.35 137.646 -137.646
1.325 123.632 -123.632
1.3 108.746 -108.746
1.275 93.2055 -93.2055
1.25 77.4057 -77.4057
1.225 61.885 -61.885
1.2 47.2499 -47.2499
1.175 34.0705 -34.0705
1.15 22.7771 -22.7771
1.125 13.5821 -13.5821
1.1 6.45524 -6.45524
1.075 1.16118 -1.16118
1.05 -2.65446 2.65446
1.025 -5.37082 5.37082
1 -7.32278 7.32278
0.975 -8.76909 8.76909
0.95 -9.88991 9.88991
0.925 -10.8005 10.8005
0.9 -11.5704 11.5704
0.875 -12.2399 12.2399
0.85 -12.8331 12.8331
0.825 -13.3648 13.3648
0.8 -13.8449 13.8449
0.775 -14.2808 14.2808
0.75 -14.678 14.678
0.725 -15.0413 15.0413
0.7 -15.3746 15.3746
0.675 -15.6811 15.6811
0.65 -15.9639 15.9639
0.625 -16.2252 16.2252
0.6 -16.4675 16.4675
0.575 -16.6925 16.6925
0.55 -16.9019 16.9019
0.525 -17.0973 17.0973
0.5 -17.28 17.28
0.475 -17.4511 17.4511
0.45 -17.6116 17.6116
0.425 -17.7625 17.7625
0.4 -17.9046 17.9046
0.375 -18.0386 18.0386
0.35 -18.1652 18.1652
0.325 -18.285 18.285
0.3 -18.3984 18.3984
0.275 -18.5061 18.5061
0.25 -18.6083 18.6083
0.225 -18.7056 18.7056
0.2 -18.7983 18.7983
0.175 -18.8866 18.8866
0.15 -18.9709 18.9709
0.125 -19.0515 19.0515
0.1 -19.1285 19.1285
0.075 -19.2023 19.2023
0.05 -19.273 19.273
0.025 -19.3409 19.3409
0 -19.406 19.406
