# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Intensity
# 6 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Intensity Internal_Absorption 
0 0.000323558 -0.148447 0 0.000196931 0 
1 0.00456471 -0.148447 0 0.000196931 0 
2 0.0130417 -0.148447 0 0.000196931 0 
3 0.021503 -0.148447 0 0.000196931 0 
4 0.0299383 -0.148447 0 0.000196931 0 
5 0.0383376 -0.148447 0 0.000196931 0 
6 0.0466906 -0.148447 0 0.000196931 0 
7 0.0549873 -0.148447 0 0.000196931 0 
8 0.0632177 -0.148447 0 0.000196931 0 
9 0.0713718 -0.148447 0 0.000196931 0 
10 0.0794399 -0.148447 0 0.000196931 0 
11 0.0874122 -0.148447 0 0.000196931 0 
12 0.095279 -0.148447 0 0.000196931 0 
13 0.103031 -0.148447 0 0.000196931 0 
14 0.110659 -0.148447 0 0.000196931 0 
15 0.118153 -0.148447 0 0.000196931 0 
16 0.125505 -0.148447 0 0.000196931 0 
17 0.132705 -0.148447 0 0.000196931 0 
18 0.139746 -0.148447 0 0.000196931 0 
19 0.146617 -0.148447 0 0.000196931 0 
20 0.153312 -0.148447 0 0.000196931 0 
21 0.159823 -0.148447 0 0.000196931 0 
22 0.16614 -0.148447 0 0.000196931 0 
23 0.172257 -0.148447 0 0.000196931 0 
24 0.178166 -0.148447 0 0.000196931 0 
25 0.183861 -0.148447 0 0.000196931 0 
26 0.189334 -0.148447 0 0.000196931 0 
27 0.194578 -0.148447 0 0.000196931 0 
28 0.199588 -0.148447 0 0.000196931 0 
29 0.204357 -0.148447 0 0.000196931 0 
30 0.20888 -0.148447 0 0.000196931 0 
31 0.21315 -0.148447 0 0.000196931 0 
32 0.217164 -0.148447 0 0.000196931 0 
33 0.220916 -0.148447 0 0.000196931 0 
34 0.224401 -0.148447 0 0.000196931 0 
35 0.227616 -0.148447 0 0.000196931 0 
36 0.230556 -0.148447 0 0.000196931 0 
37 0.233219 -0.148447 0 0.000196931 0 
38 0.2356 -0.148447 0 0.000196931 0 
39 0.237696 -0.148447 0 0.000196931 0 
40 0.239507 -0.148447 0 0.000196931 0 
41 0.241028 -0.148447 0 0.000196931 0 
42 0.242259 -0.148447 0 0.000196931 0 
43 0.243197 -0.148447 0 0.000196931 0 
44 0.243843 -0.148447 0 0.000196931 0 
45 0.244194 -0.148447 0 0.000196931 0 
46 0.244251 -0.148447 0 0.000196931 0 
47 0.244013 -0.148447 0 0.000196931 0 
48 0.243481 -0.148447 0 0.000196931 0 
49 0.242655 -0.148447 0 0.000196931 0 
50 0.241537 -0.148447 0 0.000196931 0 
51 0.240127 -0.148447 0 0.000196931 0 
52 0.238428 -0.148447 0 0.000196931 0 
53 0.236441 -0.148447 0 0.000196931 0 
54 0.234169 -0.148447 0 0.000196931 0 
55 0.231615 -0.148447 0 0.000196931 0 
56 0.228781 -0.148447 0 0.000196931 0 
57 0.225672 -0.148447 0 0.000196931 0 
58 0.22229 -0.148447 0 0.000196931 0 
59 0.218641 -0.148447 0 0.000196931 0 
60 0.214727 -0.148447 0 0.000196931 0 
61 0.210555 -0.148447 0 0.000196931 0 
62 0.206129 -0.148447 0 0.000196931 0 
63 0.201454 -0.148447 0 0.000196931 0 
64 0.196536 -0.148447 0 0.000196931 0 
65 0.191381 -0.148447 0 0.000196931 0 
66 0.185996 -0.148447 0 0.000196931 0 
67 0.180386 -0.148447 0 0.000196931 0 
68 0.174558 -0.148447 0 0.000196931 0 
69 0.168521 -0.148447 0 0.000196931 0 
70 0.162279 -0.148447 0 0.000196931 0 
71 0.155843 -0.148447 0 0.000196931 0 
72 0.149218 -0.148447 0 0.000196931 0 
73 0.142413 -0.148447 0 0.000196931 0 
74 0.135437 -0.148447 0 0.000196931 0 
75 0.128297 -0.148447 0 0.000196931 0 
76 0.121002 -0.148447 0 0.000196931 0 
77 0.113562 -0.148447 0 0.000196931 0 
78 0.105984 -0.148447 0 0.000196931 0 
79 0.0982793 -0.148447 0 0.000196931 0 
80 0.0904555 -0.148447 0 0.000196931 0 
81 0.0825227 -0.148447 0 0.000196931 0 
82 0.0744904 -0.148447 0 0.000196931 0 
83 0.0663683 -0.148447 0 0.000196931 0 
84 0.0581661 -0.148447 0 0.000196931 0 
85 0.0498937 -0.148447 0 0.000196931 0 
86 0.0415612 -0.148447 0 0.000196931 0 
87 0.0331786 -0.148447 0 0.000196931 0 
88 0.024756 -0.148447 0 0.000196931 0 
89 0.0163035 -0.148447 0 0.000196931 0 
90 0.00783132 -0.148447 0 0.000196931 0 
91 -0.000650277 -0.148447 0 0.000196931 0 
92 -0.00913109 -0.148447 0 0.000196931 0 
93 -0.0176009 -0.148447 0 0.000196931 0 
94 -0.0260495 -0.148447 0 0.000196931 0 
95 -0.0344666 -0.148447 0 0.000196931 0 
96 -0.0428422 -0.148447 0 0.000196931 0 
97 -0.0511662 -0.148447 0 0.000196931 0 
98 -0.0594284 -0.148447 0 0.000196931 0 
99 -0.0676189 -0.148447 0 0.000196931 0 
100 -0.075728 -0.148447 0 0.000196931 0 
101 -0.0837456 -0.148447 0 0.000196931 0 
102 -0.0916623 -0.148447 0 0.000196931 0 
103 -0.0994685 -0.148447 0 0.000196931 0 
104 -0.107155 -0.148447 0 0.000196931 0 
105 -0.114712 -0.148447 0 0.000196931 0 
106 -0.12213 -0.148447 0 0.000196931 0 
107 -0.129402 -0.148447 0 0.000196931 0 
108 -0.136517 -0.148447 0 0.000196931 0 
109 -0.143468 -0.148447 0 0.000196931 0 
110 -0.150245 -0.148447 0 0.000196931 0 
111 -0.156842 -0.148447 0 0.000196931 0 
112 -0.163249 -0.148447 0 0.000196931 0 
113 -0.16946 -0.148447 0 0.000196931 0 
114 -0.175466 -0.148447 0 0.000196931 0 
115 -0.18126 -0.148447 0 0.000196931 0 
116 -0.186836 -0.148447 0 0.000196931 0 
117 -0.192187 -0.148447 0 0.000196931 0 
118 -0.197306 -0.148447 0 0.000196931 0 
119 -0.202186 -0.148447 0 0.000196931 0 
120 -0.206823 -0.148447 0 0.000196931 0 
121 -0.211211 -0.148447 0 0.000196931 0 
122 -0.215344 -0.148447 0 0.000196931 0 
