# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_Poynting
# 5 External_Source_ElectricField
# 6 Energy_Loss
# x GenerationRate Intensity External_Source_Poynting External_Source_ElectricField Energy_Loss 
0 0 204.727 23.0438 5536.3 0 
0.001 0 211.217 23.0438 5576.28 0 
0.002 0 224.406 23.0438 5655.73 0 
0.003 0 238.01 23.0438 5734.16 0 
0.004 0 252.023 23.0438 5811.54 0 
0.005 0 266.435 23.0438 5887.86 0 
0.006 0 281.237 23.0438 5963.13 0 
0.007 0 296.423 23.0438 6037.32 0 
0.008 0 311.981 23.0438 6110.42 0 
0.009 0 327.904 23.0438 6182.42 0 
0.01 0 335.956 23.0438 6218.15 0 
0.01 1.05769e+22 56.3459 5.30927 6288.49 4.28447e+20 
0.011 1.0318e+22 55.0794 5.14394 6238.74 4.18359e+20 
0.012 9.82081e+21 52.6403 4.82283 6143.62 3.98962e+20 
0.013 9.36342e+21 50.3826 4.52011 6057.13 3.81071e+20 
0.014 8.9432e+21 48.2949 4.23433 5979.14 3.64591e+20 
0.015 8.55773e+21 46.367 3.96414 5909.53 3.49434e+20 
0.016 8.20484e+21 44.5892 3.70826 5848.18 3.35518e+20 
0.017 7.88253e+21 42.9529 3.4655 5794.99 3.2277e+20 
0.018 7.58896e+21 41.4502 3.23474 5749.88 3.11123e+20 
0.019 7.32251e+21 40.0738 3.01493 5712.76 3.00516e+20 
0.02 7.08167e+21 38.8172 2.80507 5683.58 2.90895e+20 
0.021 6.86512e+21 37.6746 2.60421 5662.28 2.82208e+20 
0.022 6.67166e+21 36.6408 2.41144 5648.83 2.74413e+20 
0.023 6.50023e+21 35.7111 2.22592 5643.2 2.6747e+20 
0.024 6.34991e+21 34.8814 2.04683 5645.37 2.61344e+20 
0.025 6.2199e+21 34.1481 1.87337 5655.34 2.56006e+20 
0.026 6.1095e+21 33.5083 1.70478 5673.11 2.5143e+20 
0.027 6.01816e+21 32.9594 1.54033 5698.71 2.47594e+20 
0.028 5.9454e+21 32.4993 1.3793 5732.18 2.44483e+20 
0.029 5.89089e+21 32.1265 1.22099 5773.54 2.42081e+20 
0.03 5.86816e+21 31.9618 1.14242 5796.21 2.41056e+20 
0.03 0 197.509 20.8341 5849.52 0 
0.031 0 197.509 20.8341 5811.71 0 
0.032 0 197.509 20.8341 5735.58 0 
0.033 0 197.509 20.8341 5658.46 0 
0.034 0 197.509 20.8341 5580.34 0 
0.035 0 197.509 20.8341 5501.25 0 
0.036 0 197.509 20.8341 5421.2 0 
0.037 0 197.509 20.8341 5340.19 0 
0.038 0 197.509 20.8341 5258.25 0 
0.039 0 197.509 20.8341 5175.38 0 
0.04 0 197.509 20.8341 5133.72 0 
