# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Absorption 
0 0.0200988 -0.00369103 -4.25643e-06 0 
1 0.0201009 -0.00369103 -4.25643e-06 0 
2 0.0201046 -0.00369103 -4.25643e-06 0 
3 0.0201075 -0.00369103 -4.25643e-06 0 
4 0.0201095 -0.00369103 -4.25643e-06 0 
5 0.0201107 -0.00369103 -4.25643e-06 0 
6 0.0201111 -0.00369103 -4.25643e-06 0 
7 0.0201106 -0.00369103 -4.25643e-06 0 
8 0.0201093 -0.00369103 -4.25643e-06 0 
9 0.0201071 -0.00369103 -4.25643e-06 0 
10 0.0201041 -0.00369103 -4.25643e-06 0 
11 0.0201002 -0.00369103 -4.25643e-06 0 
12 0.0200955 -0.00369103 -4.25643e-06 0 
13 0.0200899 -0.00369103 -4.25643e-06 0 
14 0.0200835 -0.00369103 -4.25643e-06 0 
15 0.0200762 -0.00369103 -4.25643e-06 0 
16 0.0200681 -0.00369103 -4.25643e-06 0 
17 0.020059 -0.00369103 -4.25643e-06 0 
18 0.0200492 -0.00369103 -4.25643e-06 0 
19 0.0200385 -0.00369103 -4.25643e-06 0 
20 0.0200269 -0.00369103 -4.25643e-06 0 
21 0.0200144 -0.00369103 -4.25643e-06 0 
22 0.0200011 -0.00369103 -4.25643e-06 0 
23 0.0199869 -0.00369103 -4.25643e-06 0 
24 0.0199719 -0.00369103 -4.25643e-06 0 
25 0.0199559 -0.00369103 -4.25643e-06 0 
26 0.0199391 -0.00369103 -4.25643e-06 0 
27 0.0199215 -0.00369103 -4.25643e-06 0 
28 0.0199029 -0.00369103 -4.25643e-06 0 
29 0.0198835 -0.00369103 -4.25643e-06 0 
30 0.0198632 -0.00369103 -4.25643e-06 0 
31 0.019842 -0.00369103 -4.25643e-06 0 
32 0.01982 -0.00369103 -4.25643e-06 0 
33 0.019797 -0.00369103 -4.25643e-06 0 
34 0.0197732 -0.00369103 -4.25643e-06 0 
35 0.0197485 -0.00369103 -4.25643e-06 0 
36 0.0197229 -0.00369103 -4.25643e-06 0 
37 0.0196964 -0.00369103 -4.25643e-06 0 
38 0.019669 -0.00369103 -4.25643e-06 0 
39 0.0196407 -0.00369103 -4.25643e-06 0 
40 0.0196116 -0.00369103 -4.25643e-06 0 
41 0.0195815 -0.00369103 -4.25643e-06 0 
42 0.0195506 -0.00369103 -4.25643e-06 0 
43 0.0195187 -0.00369103 -4.25643e-06 0 
44 0.019486 -0.00369103 -4.25643e-06 0 
45 0.0194523 -0.00369103 -4.25643e-06 0 
46 0.0194177 -0.00369103 -4.25643e-06 0 
47 0.0193823 -0.00369103 -4.25643e-06 0 
48 0.0193459 -0.00369103 -4.25643e-06 0 
49 0.0193086 -0.00369103 -4.25643e-06 0 
50 0.0192704 -0.00369103 -4.25643e-06 0 
51 0.0192313 -0.00369103 -4.25643e-06 0 
52 0.0191913 -0.00369103 -4.25643e-06 0 
53 0.0191503 -0.00369103 -4.25643e-06 0 
