# tmm TMMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0 0.086857 0.913142
301 0 0.087129 0.91287
302 0 0.087462 0.912537
303 0 0.087796 0.912203
304 0 0.088138 0.911861
305 0 0.088457 0.911542
306 0 0.088705 0.911294
307 0 0.088955 0.911044
308 0 0.089186 0.910813
309 0 0.089479 0.91052
310 0 0.089828 0.910171
311 0 0.08993 0.910069
312 0 0.089959 0.91004
313 0 0.089998 0.910001
314 0 0.090185 0.909814
315 0 0.090477 0.909522
316 0 0.090739 0.90926
317 0 0.09078 0.909219
318 0 0.090784 0.909215
319 0 0.090913 0.909086
320 0 0.091325 0.908674
321 0 0.091587 0.908412
322 0 0.091714 0.908285
323 0 0.091656 0.908343
324 0 0.091626 0.908373
325 0 0.091727 0.908272
326 0 0.091819 0.90818
327 0 0.091806 0.908193
328 0 0.091797 0.908202
329 0 0.091804 0.908195
330 0 0.091764 0.908235
331 0 0.091732 0.908267
332 0 0.091446 0.908553
333 0 0.09103 0.908969
334 0 0.090965 0.909034
335 0 0.091014 0.908985
336 0 0.090934 0.909065
337 0 0.090613 0.909386
338 0 0.09013 0.909869
339 0 0.089625 0.910374
340 0 0.089397 0.910602
341 0 0.089444 0.910555
342 0 0.08942 0.910579
343 0 0.08918 0.910819
344 0 0.088783 0.911216
345 0 0.088186 0.911813
346 0 0.08779 0.912209
347 0 0.087565 0.912434
348 0 0.087591 0.912408
349 0 0.08724 0.912759
350 0 0.086812 0.913187
351 0 0.086455 0.913544
352 0 0.086048 0.913951
353 0 0.085704 0.914295
354 0 0.085428 0.914571
355 0 0.08506 0.914939
356 0 0.084646 0.915353
357 0 0.084187 0.915811
358 0 0.083753 0.916246
359 0 0.083278 0.916721
360 0 0.082793 0.917206
361 0 0.0825 0.917499
362 0 0.08211 0.917889
363 0 0.081734 0.918265
364 0 0.081406 0.918593
365 0 0.080918 0.919081
366 0 0.08036 0.919639
367 0 0.079883 0.920116
368 0 0.079375 0.920624
369 0 0.078829 0.92117
370 0 0.078411 0.921588
371 0 0.078345 0.921654
372 0 0.078133 0.921866
373 0 0.077455 0.922544
374 0 0.076769 0.92323
375 0 0.076089 0.92391
376 0 0.075614 0.924385
377 0 0.075385 0.924614
378 0 0.07508 0.924919
379 0 0.075055 0.924944
380 0 0.074606 0.925393
