# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
0 0 666.818 541.628 
1 0 665.573 541.287 
2 0 663.142 540.567 
3 0 660.83 539.771 
4 0 658.638 538.901 
5 0 656.567 537.955 
6 0 654.619 536.934 
7 0 652.795 535.838 
8 0 651.097 534.667 
9 0 649.524 533.423 
10 0 648.079 532.104 
11 0 646.762 530.711 
12 0 645.575 529.245 
13 0 644.517 527.706 
14 0 643.59 526.094 
15 0 642.794 524.409 
16 0 642.13 522.653 
17 0 641.598 520.824 
18 0 641.199 518.924 
19 0 640.933 516.953 
20 0 640.833 515.949 
20 0 934.112 513.872 
21.0091 0 934.102 512.779 
22.0386 0 934.062 510.472 
23.0888 0 933.979 507.958 
24.1602 0 933.853 505.229 
25.2533 0 933.679 502.275 
26.3684 0 933.456 499.085 
27.506 0 933.18 495.651 
28.6666 0 932.85 491.961 
29.8506 0 932.462 488.005 
31.0584 0 932.013 483.772 
32.2907 0 931.501 479.252 
33.5478 0 930.923 474.434 
34.8303 0 930.276 469.306 
36.1387 0 929.556 463.857 
37.4735 0 928.762 458.077 
38.8352 0 927.889 451.954 
40.2244 0 926.936 445.477 
41.6416 0 925.899 438.634 
43.0874 0 924.775 431.416 
44.5624 0 923.563 423.812 
46.0672 0 922.259 415.811 
47.6023 0 920.862 407.402 
49.1685 0 919.368 398.578 
50.7662 0 917.776 389.328 
52.3961 0 916.084 379.645 
54.059 0 914.291 369.52 
55.7554 0 912.395 358.947 
57.486 0 910.395 347.92 
59.2516 0 908.292 336.434 
61.0528 0 906.085 324.485 
62.8903 0 903.774 312.071 
64.765 0 901.36 299.191 
66.6774 0 898.844 285.846 
68.6285 0 896.229 272.038 
70.6189 0 893.517 257.771 
72.6495 0 890.712 243.053 
74.721 0 887.817 227.891 
76.8344 0 884.837 212.298 
78.9904 0 881.777 196.287 
81.1899 0 878.645 179.874 
83.4338 0 875.446 163.08 
85.723 0 872.189 145.926 
88.0584 0 868.884 128.439 
90.4409 0 865.539 110.649 
92.8715 0 862.166 92.5875 
95.3512 0 858.776 74.2922 
97.8809 0 855.382 55.8031 
100.462 0 851.997 37.1646 
103.094 0 848.636 18.4247 
105.78 0 845.314 -0.364575 
108.52 0 842.047 -19.1475 
111.316 0 838.852 -37.8646 
114.168 0 835.748 -56.4527 
117.077 0 832.751 -74.8454 
120.045 0 829.882 -92.9731 
123.073 0 827.16 -110.763 
126.162 0 824.605 -128.142 
129.314 0 822.237 -145.031 
132.529 0 820.077 -161.354 
