# tmm TMMM (tmm)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0 0.180191 0.819808
310 0 0.197707 0.802292
320 0 0.272584 0.727415
330 0 0.32229 0.677709
340 0 0.281574 0.718425
350 0 0.167507 0.832492
360 0 0.031623 0.968376
370 0 0.061713 0.938286
380 0 0.230729 0.76927
390 0 0.351439 0.64856
400 0 0.418479 0.58152
410 0 0.446306 0.553693
420 0 0.449606 0.550393
430 0 0.436263 0.563736
440 0 0.409867 0.590132
450 0 0.372771 0.627228
460 0 0.326072 0.673927
470 0 0.273686 0.726313
480 0 0.217439 0.78256
490 0 0.16088 0.839119
500 0 0.108896 0.891103
510 0 0.064129 0.93587
520 0 0.029955 0.970044
530 0 0.008787 0.991212
540 0 0.000264 0.999735
550 0 0.003437 0.996562
560 0 0.015918 0.984081
570 0 0.035915 0.964084
580 0 0.060058 0.939941
590 0 0.086764 0.913235
600 0 0.11436 0.885639
610 0 0.141603 0.858396
620 0 0.166962 0.833037
630 0 0.191389 0.80861
640 0 0.213654 0.786345
650 0 0.233204 0.766795
660 0 0.250562 0.749437
670 0 0.266431 0.733568
680 0 0.279678 0.720321
690 0 0.291048 0.708951
700 0 0.300608 0.699391
710 0 0.308663 0.691336
720 0 0.315017 0.684982
730 0 0.320015 0.679984
740 0 0.323757 0.676242
750 1e-06 0.326253 0.673744
760 5e-06 0.327704 0.672289
770 1.2e-05 0.328201 0.671786
780 2.8e-05 0.327722 0.672248
790 6.2e-05 0.326335 0.673602
800 0.000132 0.32423 0.675637
810 0.000264 0.321352 0.678382
820 0.000514 0.31777 0.681715
830 0.00094 0.313541 0.685518
840 0.001747 0.308811 0.68944
850 0.002847 0.303446 0.693705
860 0.004725 0.297794 0.69748
870 0.007534 0.29171 0.700754
880 0.01173 0.285146 0.703122
890 0.017585 0.278363 0.70405
900 0.025424 0.271369 0.703206
910 0.036484 0.264308 0.699207
920 0.050577 0.257358 0.692063
930 0.067793 0.250829 0.681377
940 0.08919 0.2449 0.665909
950 0.115191 0.24022 0.644588
