# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
-300 0 1.68779 1.13256 
-295 0 1.66002 1.12715 
-290 0 1.60149 1.1142 
-285 0 1.5373 1.09701 
-280 0 1.46813 1.07562 
-275 0 1.39479 1.0501 
-270 0 1.31816 1.02055 
-265 0 1.23923 0.987068 
-260 0 1.15906 0.9498 
-255 0 1.07877 0.908896 
-250 0 0.999502 0.864533 
-245 0 0.922414 0.816902 
-240 0 0.84866 0.766217 
-235 0 0.77936 0.712705 
-230 0 0.715585 0.656609 
-225 0 0.65833 0.598186 
-220 0 0.608497 0.537703 
-215 0 0.566877 0.475439 
-210 0 0.534133 0.411683 
-205 0 0.510787 0.346726 
-200 0 0.50152 0.313985 
-200 6.65405e+20 1.00063 0.247752 
-195 6.58329e+20 0.996448 0.214402 
-190 6.42508e+20 0.987464 0.14795 
-185 6.23719e+20 0.977446 0.0826142 
-180 6.03085e+20 0.966871 0.0195567 
-175 5.82427e+20 0.956313 -0.0402136 
-170 5.64038e+20 0.946403 -0.0958613 
-165 5.50342e+20 0.937776 -0.146734 
-160 5.43477e+20 0.931041 -0.192367 
-155 5.44878e+20 0.926747 -0.232476 
-150 5.54926e+20 0.925376 -0.266949 
-145 5.72739e+20 0.927337 -0.295829 
-140 5.96155e+20 0.932984 -0.319295 
-135 6.21937e+20 0.942634 -0.337636 
-130 6.46183e+20 0.956581 -0.351232 
-125 6.64885e+20 0.975098 -0.360522 
-120 6.74572e+20 0.998415 -0.365984 
-115 6.72912e+20 1.02667 -0.368109 
-110 6.59178e+20 1.05985 -0.367382 
-105 6.34492e+20 1.09764 -0.364265 
-100 6.01766e+20 1.13939 -0.359178 
-95 5.65348e+20 1.18393 -0.352495 
-90 5.30396e+20 1.22954 -0.34453 
-85 5.02071e+20 1.27391 -0.33554 
-80 4.84672e+20 1.3142 -0.325721 
-75 4.80853e+20 1.34712 -0.315213 
-70 4.91065e+20 1.36916 -0.304103 
-65 5.13318e+20 1.37691 -0.292436 
-60 5.43344e+20 1.36735 -0.280222 
-55 5.75131e+20 1.33823 -0.267441 
-50 6.01795e+20 1.28846 -0.254062 
-45 6.16639e+20 1.21832 -0.240044 
-40 6.14244e+20 1.1297 -0.225349 
-35 5.91433e+20 1.02614 -0.209947 
-30 5.47916e+20 0.912646 -0.193824 
-25 4.8653e+20 0.795488 -0.176986 
-20 4.12994e+20 0.681715 -0.159461 
-15 3.35211e+20 0.578622 -0.141301 
-10 2.62207e+20 0.493145 -0.122581 
-5 2.02864e+20 0.431249 -0.1034 
0 1.77667e+20 0.406863 -0.0937068 
0 2.2057e+21 0.779854 -0.0740362 
5.00036 2.00903e+21 0.776197 -0.0640707 
10.0015 1.68489e+21 0.769557 -0.0441546 
15.0033 1.47255e+21 0.764028 -0.0244813 
20.0059 1.32928e+21 0.759228 -0.00542363 
25.0093 1.22924e+21 0.754918 0.0127182 
30.0134 1.15669e+21 0.750952 0.0296819 
35.0182 1.10197e+21 0.747236 0.0452354 
40.0239 1.05905e+21 0.74371 0.0591826 
45.0302 1.02415e+21 0.740333 0.0713734 
50.0373 9.9486e+20 0.737081 0.0817098 
55.0452 9.69599e+20 0.733934 0.0901468 
60.0538 9.4733e+20 0.730882 0.0966863 
65.0632 9.27352e+20 0.727914 0.101368 
70.0733 9.09178e+20 0.725023 0.104256 
75.0841 8.92462e+20 0.722205 0.105434 
80.0958 8.76952e+20 0.719454 0.104991 
85.1081 8.62462e+20 0.716766 0.103025 
90.1212 8.48848e+20 0.714137 0.0996352 
95.1351 8.35996e+20 0.711562 0.094929 
100.15 8.23818e+20 0.709038 0.0890206 
105.165 8.12239e+20 0.70656 0.0820336 
110.181 8.01199e+20 0.704124 0.0741017 
115.198 7.90647e+20 0.701727 0.0653681 
120.216 7.80539e+20 0.699364 0.0559828 
125.234 7.70837e+20 0.697033 0.0461007 
130.253 7.6151e+20 0.69473 0.0358778 
135.273 7.52528e+20 0.692452 0.0254689 
140.294 7.43866e+20 0.690198 0.0150252 
145.315 7.35502e+20 0.687966 0.0046924 
150.337 7.27416e+20 0.685755 -0.00539016 
155.36 7.1959e+20 0.683565 -0.0150905 
160.384 7.12008e+20 0.681395 -0.0242847 
165.408 7.04656e+20 0.679246 -0.0328582 
170.434 6.9752e+20 0.677119 -0.0407065 
175.459 6.90588e+20 0.675015 -0.0477368 
180.486 6.83849e+20 0.672935 -0.0538691 
185.514 6.77294e+20 0.67088 -0.0590375 
190.542 6.70913e+20 0.668851 -0.0631914 
195.571 6.64698e+20 0.66685 -0.0662956 
200.6 6.58639e+20 0.664876 -0.068331 
205.631 6.52731e+20 0.66293 -0.0692944 
210.662 6.46967e+20 0.661012 -0.0691981 
215.694 6.41339e+20 0.659121 -0.0680698 
220.727 6.35842e+20 0.657255 -0.0659517 
225.76 6.3047e+20 0.655414 -0.0629002 
230.794 6.25218e+20 0.653596 -0.0589847 
235.829 6.2008e+20 0.651797 -0.0542871 
240.865 6.15053e+20 0.650017 -0.0488995 
245.902 6.10131e+20 0.648252 -0.0429231 
250.939 6.0531e+20 0.646501 -0.0364657 
255.977 6.00587e+20 0.644762 -0.0296391 
261.016 5.95958e+20 0.643032 -0.0225564 
266.055 5.91419e+20 0.641311 -0.0153299 
271.095 5.86967e+20 0.639597 -0.00806859 
276.136 5.82598e+20 0.63789 -0.000876384 
281.178 5.78311e+20 0.63619 0.00614889 
286.221 5.74102e+20 0.634498 0.0129162 
291.264 5.69969e+20 0.632814 0.0193413 
296.308 5.65908e+20 0.631139 0.025347 
301.353 5.61919e+20 0.629475 0.0308628 
306.398 5.57999e+20 0.627823 0.0358245 
311.445 5.54146e+20 0.626186 0.040175 
316.492 5.50357e+20 0.624564 0.0438642 
321.54 5.46631e+20 0.622958 0.0468503 
326.588 5.42967e+20 0.621371 0.0491002 
331.638 5.39362e+20 0.619803 0.0505915 
336.688 5.35814e+20 0.618254 0.0513125 
341.739 5.32323e+20 0.616723 0.0512635 
346.79 5.28886e+20 0.615211 0.0504569 
351.843 5.25502e+20 0.613716 0.0489169 
356.896 5.2217e+20 0.612237 0.0466796 
361.95 5.18887e+20 0.610773 0.0437911 
367.004 5.15653e+20 0.609321 0.0403072 
372.06 5.12466e+20 0.60788 0.0362915 
377.116 5.09324e+20 0.606447 0.0318143 
382.173 5.06227e+20 0.60502 0.026951 
387.23 5.03172e+20 0.603599 0.0217812 
392.289 5.0016e+20 0.602181 0.016387 
397.348 4.97189e+20 0.600767 0.0108523 
402.408 4.94257e+20 0.599354 0.00526137 
407.469 4.91365e+20 0.597943 -0.000302308 
412.53 4.8851e+20 0.596535 -0.00575712 
417.592 4.85692e+20 0.59513 -0.0110246 
422.655 4.82911e+20 0.593729 -0.0160307 
427.719 4.80165e+20 0.592334 -0.0207068 
432.784 4.77454e+20 0.590946 -0.024991 
437.849 4.74778e+20 0.589567 -0.0288289 
442.915 4.72134e+20 0.588199 -0.0321739 
447.982 4.69524e+20 0.586842 -0.0349881 
453.049 4.66946e+20 0.585499 -0.0372423 
458.118 4.64399e+20 0.58417 -0.0389158 
463.187 4.61883e+20 0.582855 -0.0399966 
468.257 4.59398e+20 0.581556 -0.0404806 
473.327 4.56942e+20 0.580271 -0.040372 
478.399 4.54515e+20 0.579 -0.0396823 
483.471 4.52116e+20 0.577742 -0.0384306 
488.544 4.49746e+20 0.576496 -0.0366428 
493.617 4.47402e+20 0.57526 -0.0343518 
498.692 4.45084e+20 0.574033 -0.0315967 
503.767 4.42792e+20 0.572811 -0.0284229 
508.843 4.40525e+20 0.571595 -0.0248809 
513.919 4.38283e+20 0.570381 -0.0210266 
518.997 4.36064e+20 0.56917 -0.0169195 
524.075 4.33869e+20 0.567959 -0.0126225 
529.154 4.31697e+20 0.566748 -0.00820067 
534.234 4.29548e+20 0.565537 -0.00372023 
539.314 4.2742e+20 0.564326 0.000752547 
544.395 4.25315e+20 0.563116 0.00515229 
549.478 4.2323e+20 0.561907 0.00941555 
554.56 4.21167e+20 0.560702 0.0134817 
559.644 4.19125e+20 0.5595 0.0172936 
564.728 4.17104e+20 0.558304 0.0207986 
569.813 4.15102e+20 0.557116 0.0239489 
574.899 4.13121e+20 0.555936 0.0267022 
579.986 4.1116e+20 0.554767 0.0290226 
585.073 4.09218e+20 0.553609 0.0308804 
590.161 4.07295e+20 0.552463 0.0322535 
595.25 4.05391e+20 0.551329 0.033127 
600.34 4.03506e+20 0.550208 0.033494 
605.43 4.01639e+20 0.549098 0.0333559 
610.521 3.9979e+20 0.548 0.0327221 
615.613 3.97958e+20 0.546912 0.03161 
620.706 3.96144e+20 0.545833 0.030045 
625.799 3.94346e+20 0.544761 0.0280592 
630.894 3.92565e+20 0.543694 0.0256912 
635.989 3.908e+20 0.542631 0.022985 
641.084 3.8905e+20 0.541571 0.0199884 
646.181 3.87316e+20 0.540511 0.0167525 
651.278 3.85597e+20 0.539452 0.0133299 
656.376 3.83893e+20 0.538391 0.00977382 
661.475 3.82204e+20 0.53733 0.00613722 
666.575 3.80529e+20 0.536267 0.00247174 
671.675 3.78868e+20 0.535204 -0.00117275 
676.776 3.77221e+20 0.534141 -0.00474857 
681.878 3.75588e+20 0.533078 -0.00821041 
686.981 3.73969e+20 0.532019 -0.0115155 
692.084 3.72364e+20 0.530962 -0.0146234 
697.188 3.70772e+20 0.529912 -0.0174962 
702.293 3.69194e+20 0.528868 -0.0200984 
707.399 3.67629e+20 0.527832 -0.0223973 
712.505 3.66078e+20 0.526805 -0.0243627 
717.613 3.64539e+20 0.525788 -0.0259679 
722.721 3.63014e+20 0.524782 -0.02719 
727.829 3.61501e+20 0.523786 -0.0280104 
732.939 3.60001e+20 0.522801 -0.0284158 
738.049 3.58513e+20 0.521825 -0.0283983 
743.16 3.57037e+20 0.520859 -0.0279569 
748.272 3.55574e+20 0.5199 -0.0270973 
753.385 3.54121e+20 0.518948 -0.0258323 
758.498 3.52681e+20 0.518001 -0.0241821 
763.612 3.51251e+20 0.517057 -0.0221741 
768.727 3.49832e+20 0.516115 -0.0198423 
773.843 3.48424e+20 0.515174 -0.0172266 
778.959 3.47027e+20 0.514232 -0.0143724 
784.076 3.4564e+20 0.51329 -0.0113287 
789.194 3.44263e+20 0.512345 -0.00814773 
794.313 3.42897e+20 0.5114 -0.00488302 
799.433 3.4154e+20 0.510452 -0.00158844 
804.553 3.40193e+20 0.509504 0.00168319 
809.674 3.38856e+20 0.508556 0.00488117 
814.796 3.37529e+20 0.507609 0.00795794 
819.918 3.36212e+20 0.506665 0.0108699 
825.042 3.34904e+20 0.505724 0.0135779 
830.166 3.33606e+20 0.504788 0.0160474 
835.291 3.32318e+20 0.503859 0.0182492 
840.416 3.31039e+20 0.502937 0.0201586 
845.543 3.2977e+20 0.502024 0.0217555 
850.67 3.2851e+20 0.50112 0.0230243 
855.798 3.27259e+20 0.500225 0.0239533 
860.927 3.26018e+20 0.499339 0.0245345 
866.056 3.24786e+20 0.498462 0.0247636 
871.186 3.23563e+20 0.497592 0.0246394 
876.317 3.22348e+20 0.49673 0.0241645 
881.449 3.21142e+20 0.495874 0.0233451 
886.582 3.19944e+20 0.495023 0.0221913 
891.715 3.18755e+20 0.494174 0.0207176 
896.849 3.17573e+20 0.493328 0.0189433 
901.984 3.164e+20 0.492482 0.0168923 
907.12 3.15234e+20 0.491636 0.0145938 
912.256 3.14076e+20 0.490788 0.0120819 
917.394 3.12925e+20 0.489939 0.00939514 
922.532 3.11782e+20 0.489088 0.00657636 
927.67 3.10646e+20 0.488236 0.00367149 
932.81 3.09518e+20 0.487382 0.000728652 
937.95 3.08397e+20 0.486527 -0.00220295 
943.091 3.07283e+20 0.485673 -0.00507439 
948.233 3.06177e+20 0.48482 -0.00783826 
953.376 3.05077e+20 0.48397 -0.0104498 
958.519 3.03985e+20 0.483124 -0.0128683 
963.663 3.02901e+20 0.482283 -0.0150573 
968.808 3.01823e+20 0.481448 -0.0169859 
973.954 3.00753e+20 0.48062 -0.0186291 
979.1 2.9969e+20 0.4798 -0.0199673 
984.247 2.98634e+20 0.478988 -0.0209873 
989.395 2.97585e+20 0.478184 -0.0216809 
994.544 2.96543e+20 0.477388 -0.0220455 
999.694 2.95508e+20 0.476599 -0.0220831 
1004.84 2.9448e+20 0.475817 -0.0217999 
1010 2.93458e+20 0.475039 -0.0212058 
1015.15 2.92442e+20 0.474267 -0.0203141 
1020.3 2.91433e+20 0.473497 -0.019141 
1025.45 2.9043e+20 0.472729 -0.0177053 
1030.61 2.89433e+20 0.471962 -0.0160283 
1035.76 2.88442e+20 0.471194 -0.0141335 
1040.92 2.87456e+20 0.470426 -0.012047 
1046.07 2.86477e+20 0.469656 -0.00979675 
1051.23 2.85503e+20 0.468884 -0.00741329 
1056.39 2.84535e+20 0.46811 -0.00492917 
1061.55 2.83573e+20 0.467334 -0.00237902 
1066.71 2.82616e+20 0.466558 0.000200716 
1071.87 2.81665e+20 0.465782 0.00277218 
1077.03 2.80719e+20 0.465006 0.00529655 
1082.19 2.79779e+20 0.464232 0.00773467 
1087.35 2.78845e+20 0.463461 0.0100479 
1092.52 2.77916e+20 0.462695 0.0121986 
1097.68 2.76993e+20 0.461933 0.0141518 
1102.85 2.76076e+20 0.461178 0.015875 
1108.01 2.75164e+20 0.460429 0.0173402 
1113.18 2.74258e+20 0.459687 0.0185235 
1118.35 2.73358e+20 0.458952 0.0194069 
1123.51 2.72463e+20 0.458224 0.0199778 
1128.68 2.71573e+20 0.457503 0.0202296 
1133.85 2.70688e+20 0.456787 0.0201618 
1139.02 2.69809e+20 0.456076 0.0197799 
1144.2 2.68935e+20 0.45537 0.0190946 
1149.37 2.68066e+20 0.454666 0.0181218 
1154.54 2.67201e+20 0.453965 0.0168817 
1159.71 2.66342e+20 0.453264 0.0153982 
1164.89 2.65487e+20 0.452562 0.013698 
1170.06 2.64636e+20 0.45186 0.0118106 
