# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0 0.181224 0.818775
301 0 0.182377 0.817622
302 0 0.183543 0.816456
303 0 0.184731 0.815268
304 0 0.185944 0.814055
305 0 0.187186 0.812813
306 0 0.188295 0.811704
307 0 0.189418 0.810581
308 0 0.19054 0.809459
309 0 0.191698 0.808301
310 0 0.192857 0.807142
311 0 0.193611 0.806388
312 0 0.194323 0.805676
313 0 0.195 0.804999
314 0 0.195629 0.80437
315 0 0.196236 0.803763
316 0 0.196544 0.803455
317 0 0.196806 0.803193
318 0 0.196984 0.803015
319 0 0.197069 0.80293
320 0 0.197023 0.802976
321 0 0.196684 0.803315
322 0 0.19617 0.803829
323 0 0.195524 0.804475
324 0 0.194765 0.805234
325 0 0.193804 0.806195
326 0 0.192536 0.807463
327 0 0.191118 0.808881
328 0 0.189543 0.810456
329 0 0.187692 0.812307
330 0 0.185661 0.814338
331 0 0.183067 0.816932
332 0 0.180239 0.81976
333 0 0.177108 0.822891
334 0 0.173689 0.82631
335 0 0.17016 0.829839
336 0 0.166484 0.833515
337 0 0.162551 0.837448
338 0 0.158402 0.841597
339 0 0.154098 0.845901
340 0 0.14961 0.850389
341 0 0.14481 0.855189
342 0 0.139845 0.860154
343 0 0.134709 0.86529
344 0 0.129401 0.870598
345 0 0.12387 0.876129
346 0 0.118268 0.881731
347 0 0.112553 0.887446
348 0 0.106751 0.893248
349 0 0.100919 0.89908
350 0 0.095067 0.904932
351 0 0.089325 0.910674
352 0 0.083653 0.916346
353 0 0.078016 0.921983
354 0 0.072547 0.927452
355 0 0.067237 0.932762
356 0 0.062284 0.937715
357 0 0.057641 0.942358
358 0 0.053246 0.946753
359 0 0.049272 0.950727
360 0 0.045595 0.954404
361 0 0.042475 0.957524
362 0 0.039701 0.960298
363 0 0.037514 0.962485
364 0 0.035747 0.964252
365 0 0.034579 0.96542
366 0 0.033946 0.966053
367 0 0.033854 0.966145
368 0 0.034297 0.965702
369 0 0.035342 0.964657
370 0 0.036968 0.963031
371 0 0.039236 0.960763
372 0 0.042018 0.957981
373 0 0.04535 0.954649
374 0 0.049271 0.950728
375 0 0.053845 0.946154
376 0 0.058919 0.94108
377 0 0.064711 0.935288
378 0 0.070909 0.92909
379 0 0.077805 0.922194
380 0 0.085044 0.914955
381 0 0.092913 0.907086
382 0 0.101171 0.898828
383 0 0.109879 0.89012
384 0 0.118862 0.881137
385 0 0.128418 0.871581
386 0 0.137825 0.862174
387 0 0.147488 0.852511
388 0 0.157361 0.842638
389 0 0.167322 0.832677
390 0 0.177441 0.822558
391 0 0.187248 0.812751
392 0 0.197159 0.80284
393 0 0.207059 0.79294
394 0 0.216957 0.783042
395 0 0.226951 0.773048
396 0 0.236238 0.763761
397 0 0.245437 0.754562
398 0 0.254375 0.745624
399 0 0.263377 0.736622
400 0 0.272405 0.727594
401 0 0.280633 0.719366
402 0 0.288622 0.711377
403 0 0.296463 0.703536
404 0 0.303963 0.696036
405 0 0.311219 0.68878
406 0 0.317666 0.682333
407 0 0.323946 0.676053
408 0 0.329899 0.6701
409 0 0.335616 0.664383
410 0 0.341106 0.658893
411 0 0.346337 0.653662
412 0 0.351345 0.648654
413 0 0.356132 0.643867
414 0 0.360761 0.639238
415 0 0.365111 0.634888
416 0 0.369098 0.630901
417 0 0.372873 0.627126
418 0 0.376437 0.623562
419 0 0.379792 0.620207
420 0 0.382938 0.617061
421 0 0.385472 0.614527
422 0 0.387803 0.612196
423 0 0.389935 0.610064
424 0 0.391871 0.608128
425 0 0.393616 0.606383
426 0 0.395293 0.604706
427 0 0.396811 0.603188
428 0 0.398147 0.601852
429 0 0.399303 0.600696
430 0 0.400284 0.599715
431 0 0.400912 0.599087
432 0 0.40137 0.598629
433 0 0.401661 0.598338
434 0 0.401789 0.59821
435 0 0.401755 0.598244
436 0 0.401614 0.598385
437 0 0.401317 0.598682
438 0 0.400867 0.599132
439 0 0.400265 0.599734
440 0 0.399516 0.600483
441 0 0.398603 0.601396
442 0 0.397554 0.602445
443 0 0.396338 0.603661
444 0 0.394967 0.605032
445 0 0.393467 0.606532
446 0 0.391649 0.60835
447 0 0.389682 0.610317
448 0 0.387567 0.612432
449 0 0.385336 0.614663
450 0 0.382922 0.617077
451 0 0.380317 0.619682
452 0 0.377596 0.622403
453 0 0.374685 0.625314
454 0 0.371672 0.628327
455 0 0.368474 0.631525
456 0 0.36504 0.634959
457 0 0.361483 0.638516
458 0 0.357807 0.642192
459 0 0.354019 0.64598
460 0 0.350123 0.649876
461 0 0.346419 0.65358
462 0 0.342567 0.657432
463 0 0.33869 0.661309
464 0 0.334658 0.665341
465 0 0.3306 0.669399
466 0 0.326054 0.673945
467 0 0.32139 0.678609
468 0 0.316683 0.683316
469 0 0.311781 0.688218
470 0 0.306759 0.69324
471 0 0.301565 0.698434
472 0 0.296262 0.703737
473 0 0.290774 0.709225
474 0 0.285273 0.714726
475 0 0.279596 0.720403
476 0 0.273923 0.726076
477 0 0.268084 0.731915
478 0 0.262266 0.737733
479 0 0.256292 0.743707
480 0 0.250355 0.749644
481 0 0.244488 0.755511
482 0 0.238577 0.761422
483 0 0.232626 0.767373
484 0 0.226639 0.77336
485 0 0.22062 0.779379
486 0 0.214588 0.785411
487 0 0.208642 0.791357
488 0 0.202582 0.797417
489 0 0.196514 0.803485
490 0 0.190546 0.809453
491 0 0.184574 0.815425
492 0 0.178608 0.821391
493 0 0.172758 0.827241
494 0 0.166822 0.833177
495 0 0.160907 0.839092
496 0 0.1552 0.844799
497 0 0.149425 0.850574
498 0 0.14369 0.856309
499 0 0.138103 0.861896
500 0 0.132464 0.867535
501 0 0.126962 0.873037
502 0 0.121522 0.878477
503 0 0.116149 0.88385
504 0 0.110848 0.889151
505 0 0.105625 0.894374
506 0 0.10058 0.899419
507 0 0.095619 0.90438
508 0 0.090748 0.909251
509 0 0.085879 0.91412
510 0 0.081202 0.918797
511 0 0.076622 0.923377
512 0 0.072235 0.927764
513 0 0.067871 0.932128
514 0 0.06362 0.936379
515 0 0.059567 0.940432
516 0 0.05563 0.944369
517 0 0.051738 0.948261
518 0 0.048046 0.951953
519 0 0.044479 0.95552
520 0 0.041041 0.958958
521 0 0.037731 0.962268
522 0 0.034555 0.965444
523 0 0.031575 0.968424
524 0 0.028667 0.971332
525 0 0.025897 0.974102
526 0 0.02332 0.976679
527 0 0.020879 0.97912
528 0 0.018526 0.981473
529 0 0.016361 0.983638
530 0 0.014333 0.985666
531 0 0.012443 0.987556
532 0 0.01069 0.989309
533 0 0.009042 0.990957
534 0 0.007568 0.992431
535 0 0.006262 0.993737
536 0 0.005061 0.994938
537 0 0.003997 0.996002
538 0 0.003069 0.99693
539 0 0.002292 0.997707
540 0 0.00163 0.998369
541 0 0.001099 0.9989
542 0 0.000708 0.999291
543 0 0.000441 0.999558
544 0 0.000294 0.999705
545 0 0.000273 0.999726
546 0 0.000371 0.999628
547 0 0.00059 0.999409
548 0 0.000922 0.999077
549 0 0.001367 0.998632
550 0 0.001922 0.998077
551 0 0.002586 0.997413
552 0 0.003357 0.996642
553 0 0.00423 0.995769
554 0 0.005205 0.994794
555 0 0.006278 0.993721
556 0 0.007447 0.992552
557 0 0.008708 0.991291
558 0 0.010061 0.989938
559 0 0.011468 0.988531
560 0 0.012991 0.987008
561 0 0.014599 0.9854
562 0 0.016247 0.983752
563 0 0.01801 0.981989
564 0 0.019848 0.980151
565 0 0.021713 0.978286
566 0 0.023689 0.97631
567 0 0.025685 0.974314
568 0 0.02779 0.972209
569 0 0.029905 0.970094
570 0 0.032128 0.967871
571 0 0.034353 0.965646
