# Parameter sweep (sweep_back)
# Simulation    : driftdiffusion
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
1.8 307.717 -307.717
1.775 299.975 -299.975
1.75 292.108 -292.108
1.725 284.11 -284.11
1.7 275.978 -275.978
1.675 267.709 -267.709
1.65 259.298 -259.298
1.625 250.74 -250.74
1.6 242.026 -242.026
1.575 233.146 -233.146
1.55 224.08 -224.08
1.525 214.801 -214.801
1.5 205.264 -205.264
1.475 195.407 -195.407
1.45 185.142 -185.142
1.425 174.359 -174.359
1.4 162.933 -162.933
1.375 150.732 -150.732
1.35 137.649 -137.649
1.325 123.635 -123.635
1.3 108.749 -108.749
1.275 93.2097 -93.2097
1.25 77.4105 -77.4105
1.225 61.8906 -61.8906
1.2 47.2563 -47.2563
1.175 34.078 -34.078
1.15 22.7856 -22.7856
1.125 13.5919 -13.5919
1.1 6.46619 -6.46619
1.075 1.17332 -1.17332
1.05 -2.64118 2.64118
1.025 -5.35641 5.35641
1 -7.30728 7.30728
0.975 -8.75252 8.75252
0.95 -9.87231 9.87231
0.925 -10.782 10.782
0.9 -11.5509 11.5509
0.875 -12.2197 12.2197
0.85 -12.8121 12.8121
0.825 -13.3431 13.3431
0.8 -13.8226 13.8226
0.775 -14.2579 14.2579
0.75 -14.6546 14.6546
0.725 -15.0174 15.0174
0.7 -15.3503 15.3503
0.675 -15.6564 15.6564
0.65 -15.9387 15.9387
0.625 -16.1997 16.1997
0.6 -16.4417 16.4417
0.575 -16.6664 16.6664
0.55 -16.8755 16.8755
0.525 -17.0707 17.0707
0.5 -17.2531 17.2531
0.475 -17.4239 17.4239
0.45 -17.5842 17.5842
0.425 -17.7349 17.7349
0.4 -17.8768 17.8768
0.375 -18.0107 18.0107
0.35 -18.1371 18.1371
0.325 -18.2567 18.2567
0.3 -18.37 18.37
0.275 -18.4775 18.4775
0.25 -18.5796 18.5796
0.225 -18.6767 18.6767
0.2 -18.7693 18.7693
0.175 -18.8575 18.8575
0.15 -18.9416 18.9416
0.125 -19.0221 19.0221
0.1 -19.099 19.099
0.075 -19.1727 19.1727
0.05 -19.2434 19.2434
0.025 -19.3111 19.3111
0 -19.3761 19.3761
