# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
0 0 685.117 15435.6 0 0 0 
1 0 683.995 15427.6 0 0 0 
2 0 681.802 15410.6 0 0 0 
3 0 679.716 15391.6 0 0 0 
4 0 677.736 15370.6 0 0 0 
5 0 675.865 15347.6 0 0 0 
6 0 674.103 15322.7 0 0 0 
7 0 672.451 15295.8 0 0 0 
8 0 670.911 15266.9 0 0 0 
9 0 669.484 15236.1 0 0 0 
10 0 668.169 15203.4 0 0 0 
11 0 666.969 15168.7 0 0 0 
12 0 665.883 15132 0 0 0 
13 0 664.913 15093.4 0 0 0 
14 0 664.059 15052.9 0 0 0 
15 0 663.321 15010.5 0 0 0 
16 0 662.7 14966.2 0 0 0 
17 0 662.196 14919.9 0 0 0 
18 0 661.81 14871.8 0 0 0 
19 0 661.541 14821.8 0 0 0 
20 0 661.436 14796.3 0 0 0 
20 3.26977e+19 940.301 14743.4 0 0 0 
21 3.26979e+19 940.258 14715.5 0 0 0 
22 3.26976e+19 940.15 14657.7 0 0 0 
23 3.26956e+19 939.996 14596.2 0 0 0 
24 3.26921e+19 939.796 14531 0 0 0 
25 3.2687e+19 939.55 14462 0 0 0 
26 3.26804e+19 939.258 14389.4 0 0 0 
27 3.26721e+19 938.921 14313.1 0 0 0 
28 3.26622e+19 938.538 14233.2 0 0 0 
29 3.26507e+19 938.109 14149.6 0 0 0 
30 3.26377e+19 937.636 14062.5 0 0 0 
31 3.26231e+19 937.116 13971.9 0 0 0 
32 3.26068e+19 936.552 13877.7 0 0 0 
33 3.2589e+19 935.944 13780 0 0 0 
34 3.25697e+19 935.291 13679 0 0 0 
35 3.25488e+19 934.594 13574.5 0 0 0 
36 3.25263e+19 933.854 13466.6 0 0 0 
37 3.25023e+19 933.071 13355.4 0 0 0 
38 3.24769e+19 932.246 13240.9 0 0 0 
39 3.24499e+19 931.378 13123.1 0 0 0 
40 3.24215e+19 930.469 13002.2 0 0 0 
41 3.23916e+19 929.52 12878 0 0 0 
42 3.23603e+19 928.531 12750.8 0 0 0 
43 3.23276e+19 927.502 12620.4 0 0 0 
44 3.22935e+19 926.435 12487.1 0 0 0 
45 3.22581e+19 925.33 12350.7 0 0 0 
46 3.22213e+19 924.188 12211.4 0 0 0 
47 3.21833e+19 923.01 12069.2 0 0 0 
48 3.21441e+19 921.797 11924.2 0 0 0 
49 3.21036e+19 920.549 11776.4 0 0 0 
50 3.2062e+19 919.269 11625.8 0 0 0 
51 3.20192e+19 917.956 11472.6 0 0 0 
52 3.19754e+19 916.612 11316.7 0 0 0 
53 3.19304e+19 915.237 11158.2 0 0 0 
54 3.18845e+19 913.833 10997.2 0 0 0 
55 3.18376e+19 912.402 10833.8 0 0 0 
56 3.17898e+19 910.943 10667.9 0 0 0 
57 3.17411e+19 909.459 10499.7 0 0 0 
58 3.16916e+19 907.95 10329.2 0 0 0 
59 3.16412e+19 906.417 10156.4 0 0 0 
60 3.15902e+19 904.863 9981.46 0 0 0 
61 3.15384e+19 903.287 9804.4 0 0 0 
62 3.1486e+19 901.692 9625.27 0 0 0 
63 3.14331e+19 900.079 9444.15 0 0 0 
64 3.13795e+19 898.448 9261.09 0 0 0 
65 3.13255e+19 896.802 9076.15 0 0 0 
66 3.12711e+19 895.141 8889.4 0 0 0 
67 3.12163e+19 893.467 8700.9 0 0 0 
68 3.11611e+19 891.781 8510.71 0 0 0 
69 3.11057e+19 890.085 8318.89 0 0 0 
70 3.10501e+19 888.38 8125.52 0 0 0 
71 3.09943e+19 886.666 7930.65 0 0 0 
72 3.09384e+19 884.947 7734.35 0 0 0 
73 3.08824e+19 883.222 7536.68 0 0 0 
74 3.08264e+19 881.493 7337.72 0 0 0 
75 3.07704e+19 879.763 7137.51 0 0 0 
76 3.07146e+19 878.031 6936.14 0 0 0 
77 3.06589e+19 876.299 6733.67 0 0 0 
78 3.06034e+19 874.569 6530.16 0 0 0 
79 3.05482e+19 872.842 6325.68 0 0 0 
80 3.04932e+19 871.119 6120.29 0 0 0 
81 3.04386e+19 869.402 5914.07 0 0 0 
82 3.03845e+19 867.691 5707.07 0 0 0 
83 3.03307e+19 865.989 5499.37 0 0 0 
84 3.02775e+19 864.296 5291.03 0 0 0 
85 3.02248e+19 862.613 5082.11 0 0 0 
86 3.01727e+19 860.943 4872.69 0 0 0 
87 3.01213e+19 859.285 4662.83 0 0 0 
88 3.00705e+19 857.642 4452.59 0 0 0 
89 3.00205e+19 856.014 4242.04 0 0 0 
90 2.99712e+19 854.402 4031.25 0 0 0 
91 2.99228e+19 852.808 3820.28 0 0 0 
92 2.98752e+19 851.233 3609.2 0 0 0 
93 2.98284e+19 849.677 3398.07 0 0 0 
94 2.97826e+19 848.142 3186.96 0 0 0 
95 2.97378e+19 846.629 2975.93 0 0 0 
96 2.96939e+19 845.139 2765.05 0 0 0 
97 2.96511e+19 843.672 2554.37 0 0 0 
98 2.96093e+19 842.229 2343.96 0 0 0 
99 2.95686e+19 840.812 2133.89 0 0 0 
100 2.9529e+19 839.421 1924.22 0 0 0 
