
# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0 0.086938 0.913061
301 0 0.08706 0.912939
302 0 0.087229 0.91277
303 0 0.087391 0.912608
304 0 0.087547 0.912452
305 0 0.087657 0.912342
306 0 0.087653 0.912346
307 0 0.087665 0.912334
308 0 0.087657 0.912342
309 0 0.087661 0.912338
310 0 0.087723 0.912276
311 0 0.087411 0.912588
312 0 0.087062 0.912937
313 0 0.086697 0.913302
314 0 0.086432 0.913567
315 0 0.086187 0.913812
316 0 0.085829 0.91417
317 0 0.085383 0.914616
318 0 0.084913 0.915086
319 0 0.084468 0.915531
320 0 0.084063 0.915936
321 0 0.0835 0.916499
322 0 0.082873 0.917126
323 0 0.08216 0.917839
324 0 0.081458 0.918541
325 0 0.080792 0.919207
326 0 0.080045 0.919954
327 0 0.079276 0.920723
328 0 0.078503 0.921496
329 0 0.077746 0.922253
330 0 0.076967 0.923032
331 0 0.076017 0.923982
332 0 0.075143 0.924856
333 0 0.074322 0.925677
334 0 0.073369 0.92663
335 0 0.072361 0.927638
336 0 0.071462 0.928537
337 0 0.07066 0.929339
338 0 0.069968 0.930031
339 0 0.069326 0.930673
340 0 0.068551 0.931448
341 0 0.067386 0.932613
342 0 0.066266 0.933733
343 0 0.065328 0.934671
344 0 0.06452 0.935479
345 0 0.06408 0.935919
346 0 0.063399 0.9366
347 0 0.062386 0.937613
348 0 0.060988 0.939011
349 0 0.060136 0.939863
350 0 0.05944 0.940559
351 0 0.058754 0.941245
352 0 0.058406 0.941593
353 0 0.05772 0.942279
354 0 0.056746 0.943253
355 0 0.055849 0.94415
356 0 0.055318 0.944681
357 0 0.05462 0.945379
358 0 0.053971 0.946028
359 0 0.053558 0.946441
360 0 0.053273 0.946726
361 0 0.05265 0.947349
362 0 0.052135 0.947864
363 0 0.051985 0.948014
364 0 0.051741 0.948258
365 0 0.05134 0.948659
366 0 0.050755 0.949244
367 0 0.050473 0.949526
368 0 0.050178 0.949821
369 0 0.050084 0.949915
370 0 0.050021 0.949978
371 0 0.05032 0.949679
372 0 0.050275 0.949724
373 0 0.049872 0.950127
374 0 0.049509 0.95049
375 0 0.049225 0.950774
376 0 0.049217 0.950782
377 0 0.049426 0.950573
378 0 0.049826 0.950173
