# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Intensity
# x Internal_Source_ElectricField Internal_Intensity 
0 0.220544 0.0567849 
1 0.219575 0.0567849 
2 0.217588 0.0567849 
3 0.215507 0.0567849 
4 0.21333 0.0567849 
5 0.21106 0.0567849 
6 0.208698 0.0567849 
7 0.206244 0.0567849 
8 0.203699 0.0567849 
9 0.201065 0.0567849 
10 0.198343 0.0567849 
11 0.195534 0.0567849 
12 0.192639 0.0567849 
13 0.18966 0.0567849 
14 0.186597 0.0567849 
15 0.183453 0.0567849 
16 0.180228 0.0567849 
17 0.176924 0.0567849 
18 0.173543 0.0567849 
19 0.170085 0.0567849 
20 0.166553 0.0567849 
21 0.162948 0.0567849 
22 0.159271 0.0567849 
23 0.155524 0.0567849 
24 0.15171 0.0567849 
25 0.147828 0.0567849 
26 0.143882 0.0567849 
27 0.139873 0.0567849 
28 0.135802 0.0567849 
29 0.131672 0.0567849 
30 0.127484 0.0567849 
31 0.12324 0.0567849 
32 0.118942 0.0567849 
33 0.114592 0.0567849 
34 0.110191 0.0567849 
35 0.105742 0.0567849 
36 0.101247 0.0567849 
37 0.0967078 0.0567849 
38 0.0921258 0.0567849 
39 0.0875035 0.0567849 
40 0.0828427 0.0567849 
41 0.0781456 0.0567849 
42 0.0734142 0.0567849 
43 0.0686507 0.0567849 
44 0.063857 0.0567849 
45 0.0590353 0.0567849 
46 0.0541877 0.0567849 
47 0.0493164 0.0567849 
48 0.0444234 0.0567849 
49 0.0395109 0.0567849 
50 0.0345811 0.0567849 
51 0.0296361 0.0567849 
52 0.0246781 0.0567849 
53 0.0197093 0.0567849 
54 0.0147319 0.0567849 
55 0.009748 0.0567849 
56 0.00475982 0.0567849 
57 -0.000230443 0.0567849 
58 -0.00522061 0.0567849 
59 -0.0102085 0.0567849 
60 -0.0151919 0.0567849 
61 -0.0201686 0.0567849 
62 -0.0251365 0.0567849 
63 -0.0300934 0.0567849 
64 -0.035037 0.0567849 
65 -0.0399653 0.0567849 
66 -0.0448761 0.0567849 
67 -0.0497672 0.0567849 
68 -0.0546364 0.0567849 
69 -0.0594817 0.0567849 
70 -0.0643009 0.0567849 
71 -0.0690919 0.0567849 
72 -0.0738526 0.0567849 
73 -0.0785809 0.0567849 
74 -0.0832747 0.0567849 
75 -0.087932 0.0567849 
76 -0.0925507 0.0567849 
77 -0.0971288 0.0567849 
