# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Intensity
# 6 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Intensity Internal_Absorption 
0 0.220126 -0.131474 0 0.000174415 0 
1 0.219951 -0.131501 0 0.000174451 0.000225219 
2 0.219247 -0.131556 0 0.000174525 0.000450532 
3 0.217834 -0.131611 0 0.000174598 0.000450721 
4 0.215717 -0.131667 0 0.000174671 0.000450909 
5 0.212903 -0.131722 0 0.000174744 0.000451098 
6 0.2094 -0.131777 0 0.000174817 0.000451287 
7 0.205219 -0.131832 0 0.00017489 0.000451476 
8 0.200374 -0.131887 0 0.000174964 0.000451666 
9 0.19488 -0.131943 0 0.000175037 0.000451855 
10 0.188754 -0.131998 0 0.00017511 0.000452044 
11 0.182016 -0.132053 0 0.000175184 0.000452233 
12 0.174688 -0.132109 0 0.000175257 0.000452423 
13 0.166792 -0.132164 0 0.000175331 0.000452613 
14 0.158355 -0.132219 0 0.000175404 0.000452802 
15 0.149403 -0.132275 0 0.000175478 0.000452992 
16 0.139964 -0.13233 0 0.000175551 0.000453182 
17 0.13007 -0.132386 0 0.000175625 0.000453372 
18 0.119752 -0.132441 0 0.000175698 0.000453561 
19 0.109042 -0.132496 0 0.000175772 0.000453751 
20 0.0979759 -0.132552 0 0.000175845 0.000453942 
21 0.0865888 -0.132608 0 0.000175919 0.000454132 
22 0.0749173 -0.132663 0 0.000175993 0.000454322 
23 0.062999 -0.132719 0 0.000176067 0.000454512 
24 0.0508723 -0.132774 0 0.00017614 0.000454703 
25 0.0385762 -0.13283 0 0.000176214 0.000454893 
26 0.0261504 -0.132886 0 0.000176288 0.000455084 
27 0.013635 -0.132941 0 0.000176362 0.000455275 
28 0.0010703 -0.132997 0 0.000176436 0.000455465 
29 -0.0115031 -0.133053 0 0.00017651 0.000455656 
30 -0.0240447 -0.133108 0 0.000176584 0.000455847 
31 -0.0365138 -0.133164 0 0.000176658 0.000456038 
32 -0.0488703 -0.13322 0 0.000176732 0.000456229 
33 -0.0610742 -0.133276 0 0.000176806 0.00045642 
34 -0.0730859 -0.133332 0 0.00017688 0.000456611 
35 -0.0848667 -0.133387 0 0.000176954 0.000456803 
36 -0.0963784 -0.133443 0 0.000177028 0.000456994 
37 -0.107584 -0.133499 0 0.000177102 0.000457186 
38 -0.118446 -0.133555 0 0.000177176 0.000457377 
39 -0.128931 -0.133611 0 0.000177251 0.000457569 
40 -0.139004 -0.133667 0 0.000177325 0.00045776 
41 -0.148632 -0.133723 0 0.000177399 0.000457952 
42 -0.157784 -0.133779 0 0.000177473 0.000458144 
43 -0.16643 -0.133835 0 0.000177548 0.000458336 
44 -0.174543 -0.133891 0 0.000177622 0.000458528 
45 -0.182096 -0.133947 0 0.000177697 0.00045872 
46 -0.189063 -0.134003 0 0.000177771 0.000458912 
47 -0.195423 -0.13406 0 0.000177845 0.000459105 
48 -0.201155 -0.134116 0 0.00017792 0.000459297 
49 -0.20624 -0.134172 0 0.000177995 0.000459489 
50 -0.21066 -0.134228 0 0.000178069 0.000459682 
51 -0.214403 -0.134284 0 0.000178144 0.000459875 
52 -0.217454 -0.134341 0 0.000178218 0.000460067 
53 -0.219805 -0.134397 0 0.000178293 0.00046026 
54 -0.221447 -0.134453 0 0.000178368 0.000460453 
55 -0.222374 -0.13451 0 0.000178442 0.000460646 
56 -0.222584 -0.134566 0 0.000178517 0.000460839 
