#tmm Radiation results with respect to radial wave number (tmm_study)
# 0 ratio[1] 
# 1 kr value[1]
# 2 Emission angle [deg]
# 3 Power flow back
#  Powerflow front
# ratio  kr  Emission_angle  Power_back  Power_front
0  0  0  0.000131419  0.000131364
0.005  0.000284132  0.00499992  0.000131413  0.000131358
0.01  0.000568263  0.00999996  0.000131398  0.000131342
0.015  0.000852395  0.0150003  0.000131371  0.000131316
0.02  0.00113653  0.0200009  0.000131334  0.000131279
0.025  0.00142066  0.0250021  0.000131287  0.000131232
0.03  0.00170479  0.0300039  0.000131229  0.000131174
0.035  0.00198892  0.0350064  0.00013116  0.000131105
0.04  0.00227305  0.0400099  0.000131081  0.000131026
0.045  0.00255719  0.0450143  0.000130992  0.000130937
0.05  0.00284132  0.0500198  0.000130892  0.000130837
0.055  0.00312545  0.0550266  0.000130781  0.000130727
0.06  0.00340958  0.0600348  0.00013066  0.000130606
0.065  0.00369371  0.0650445  0.000130529  0.000130474
0.07  0.00397784  0.0700559  0.000130387  0.000130332
0.075  0.00426198  0.075069  0.000130235  0.00013018
0.08  0.00454611  0.0800839  0.000130072  0.000130017
0.085  0.00483024  0.0851009  0.000129898  0.000129844
0.09  0.00511437  0.0901201  0.000129715  0.00012966
0.095  0.0053985  0.0951415  0.000129521  0.000129466
0.1  0.00568263  0.100165  0.000129316  0.000129262
0.105  0.00596677  0.105192  0.000129101  0.000129047
0.11  0.0062509  0.110221  0.000128876  0.000128822
0.115  0.00653503  0.115253  0.000128641  0.000128587
0.12  0.00681916  0.120287  0.000128395  0.000128341
0.125  0.00710329  0.125325  0.000128139  0.000128085
0.13  0.00738742  0.130366  0.000127873  0.000127819
0.135  0.00767156  0.135411  0.000127596  0.000127542
0.14  0.00795569  0.140459  0.000127309  0.000127256
0.145  0.00823982  0.14551  0.000127012  0.000126959
0.15  0.00852395  0.150565  0.000126705  0.000126652
0.155  0.00880808  0.155624  0.000126388  0.000126335
0.16  0.00909221  0.160687  0.000126061  0.000126007
0.165  0.00937635  0.165755  0.000125723  0.00012567
0.17  0.00966048  0.170826  0.000125376  0.000125323
0.175  0.00994461  0.175902  0.000125019  0.000124965
0.18  0.0102287  0.180983  0.000124651  0.000124598
0.185  0.0105129  0.186068  0.000124274  0.000124221
0.19  0.010797  0.191158  0.000123886  0.000123834
0.195  0.0110811  0.196253  0.000123489  0.000123436
0.2  0.0113653  0.201354  0.000123082  0.00012303
0.205  0.0116494  0.206459  0.000122665  0.000122613
0.21  0.0119335  0.211571  0.000122239  0.000122186
0.215  0.0122177  0.216687  0.000121802  0.00012175
0.22  0.0125018  0.22181  0.000121356  0.000121304
0.225  0.0127859  0.226938  0.000120901  0.000120849
0.23  0.0130701  0.232073  0.000120435  0.000120384
0.235  0.0133542  0.237214  0.000119961  0.000119909
0.24  0.0136383  0.242361  0.000119476  0.000119425
0.245  0.0139225  0.247514  0.000118982  0.000118931
0.25  0.0142066  0.252675  0.000118479  0.000118428
0.255  0.0144907  0.257842  0.000117967  0.000117915
0.26  0.0147748  0.263017  0.000117445  0.000117394
0.265  0.015059  0.268198  0.000116913  0.000116863
0.27  0.0153431  0.273387  0.000116373  0.000116322
0.275  0.0156272  0.278584  0.000115823  0.000115773
0.28  0.0159114  0.283788  0.000115264  0.000115214
0.285  0.0161955  0.289  0.000114696  0.000114646
0.29  0.0164796  0.29422  0.00011412  0.00011407
0.295  0.0167638  0.299449  0.000113534  0.000113484
0.3  0.0170479  0.304686  0.000112939  0.000112889
0.305  0.017332  0.309932  0.000112335  0.000112286
0.31  0.0176162  0.315186  0.000111723  0.000111674
0.315  0.0179003  0.32045  0.000111102  0.000111053
0.32  0.0181844  0.325722  0.000110472  0.000110423
0.325  0.0184686  0.331004  0.000109834  0.000109785
0.33  0.0187527  0.336296  0.000109187  0.000109138
0.335  0.0190368  0.341598  0.000108531  0.000108483
0.34  0.019321  0.346909  0.000107867  0.000107819
0.345  0.0196051  0.352231  0.000107195  0.000107147
0.35  0.0198892  0.357563  0.000106515  0.000106467
0.355  0.0201733  0.362906  0.000105826  0.000105779
0.36  0.0204575  0.36826  0.000105129  0.000105082
0.365  0.0207416  0.373624  0.000104424  0.000104377
0.37  0.0210257  0.379  0.000103711  0.000103665
0.375  0.0213099  0.384388  0.000102991  0.000102944
0.38  0.021594  0.389787  0.000102262  0.000102216
0.385  0.0218781  0.395199  0.000101526  0.00010148
0.39  0.0221623  0.400622  0.000100782  0.000100736
0.395  0.0224464  0.406059  0.00010003  9.99845e-05
0.4  0.0227305  0.411507  9.92709e-05  9.92255e-05
0.405  0.0230147  0.416969  9.85043e-05  9.84592e-05
0.41  0.0232988  0.422444  9.77304e-05  9.76855e-05
0.415  0.0235829  0.427933  9.69492e-05  9.69046e-05
0.42  0.0238671  0.433435  9.61608e-05  9.61164e-05
0.425  0.0241512  0.438952  9.53654e-05  9.53212e-05
0.43  0.0244353  0.444482  9.45629e-05  9.4519e-05
0.435  0.0247195  0.450028  9.37535e-05  9.37099e-05
0.44  0.0250036  0.455588  9.29374e-05  9.2894e-05
0.445  0.0252877  0.461163  9.21145e-05  9.20714e-05
0.45  0.0255719  0.466754  9.12849e-05  9.12421e-05
0.455  0.025856  0.472361  9.04489e-05  9.04064e-05
0.46  0.0261401  0.477984  8.96064e-05  8.95642e-05
0.465  0.0264242  0.483623  8.87577e-05  8.87157e-05
0.47  0.0267084  0.489279  8.79026e-05  8.78609e-05
0.475  0.0269925  0.494952  8.70415e-05  8.70001e-05
0.48  0.0272766  0.500642  8.61744e-05  8.61332e-05
0.485  0.0275608  0.506351  8.53013e-05  8.52605e-05
0.49  0.0278449  0.512077  8.44225e-05  8.43819e-05
0.495  0.028129  0.517822  8.3538e-05  8.34977e-05
0.5  0.0284132  0.523586  8.26479e-05  8.26079e-05
0.505  0.0286973  0.529369  8.17523e-05  8.17127e-05
0.51  0.0289814  0.535171  8.08515e-05  8.08121e-05
0.515  0.0292656  0.540994  7.99454e-05  7.99063e-05
0.52  0.0295497  0.546837  7.90341e-05  7.89954e-05
0.525  0.0298338  0.552701  7.8118e-05  7.80795e-05
0.53  0.030118  0.558586  7.71969e-05  7.71588e-05
0.535  0.0304021  0.564493  7.62712e-05  7.62333e-05
0.54  0.0306862  0.570422  7.53408e-05  7.53033e-05
0.545  0.0309704  0.576374  7.44059e-05  7.43688e-05
0.55  0.0312545  0.582349  7.34668e-05  7.34299e-05
0.555  0.0315386  0.588347  7.25234e-05  7.24869e-05
0.56  0.0318227  0.59437  7.15759e-05  7.15398e-05
0.565  0.0321069  0.600417  7.06246e-05  7.05887e-05
0.57  0.032391  0.606489  6.96694e-05  6.96339e-05
0.575  0.0326751  0.612587  6.87106e-05  6.86754e-05
