# tmm TMMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
300 0.287305 0.174392 0.538303
301 0.29921 0.168042 0.532748
302 0.311501 0.161751 0.526748
303 0.324192 0.155501 0.520307
304 0.337303 0.149266 0.51343
305 0.350855 0.143023 0.506121
306 0.367846 0.135407 0.496747
307 0.385541 0.127771 0.486688
308 0.403979 0.120086 0.475935
309 0.423196 0.112329 0.464475
310 0.443234 0.104477 0.45229
311 0.464694 0.0963273 0.438979
312 0.487086 0.0880819 0.424832
313 0.510433 0.0797605 0.409807
314 0.534748 0.0714018 0.39385
315 0.560027 0.06307 0.376903
316 0.581011 0.0561873 0.362801
317 0.602495 0.0495295 0.347976
318 0.624348 0.0432998 0.332352
319 0.646362 0.0377932 0.315845
320 0.668216 0.0334356 0.298349
321 0.672531 0.0345672 0.292901
322 0.674921 0.0384359 0.286643
323 0.674574 0.046125 0.279301
324 0.670443 0.0590207 0.270536
325 0.661169 0.0789004 0.259931
326 0.603594 0.120873 0.275533
327 0.541666 0.17542 0.282914
328 0.477083 0.241121 0.281795
329 0.413236 0.313347 0.273418
330 0.35502 0.383917 0.261063
331 0.304408 0.445524 0.250068
332 0.264985 0.49352 0.241495
333 0.234633 0.529544 0.235823
334 0.210578 0.557201 0.232221
335 0.190097 0.580909 0.228994
336 0.176279 0.599087 0.224634
337 0.16305 0.617523 0.219427
338 0.150612 0.635666 0.213722
339 0.139133 0.652985 0.207881
340 0.128749 0.668977 0.202275
341 0.121282 0.681088 0.19763
342 0.114609 0.691824 0.193566
343 0.108585 0.701466 0.189949
344 0.103075 0.710285 0.18664
345 0.0979623 0.718544 0.183493
346 0.0939382 0.725349 0.180713
347 0.0901276 0.731873 0.177999
348 0.0865298 0.738093 0.175378
349 0.0831451 0.743979 0.172876
350 0.079971 0.749513 0.170516
351 0.0774287 0.754029 0.168542
352 0.0750326 0.758273 0.166694
353 0.0727554 0.762316 0.164928
354 0.0705732 0.766225 0.163202
355 0.068463 0.770065 0.161472
356 0.0666824 0.773432 0.159885
357 0.0649398 0.776793 0.158267
358 0.0632387 0.780133 0.156628
359 0.0615816 0.783438 0.15498
360 0.0599716 0.786695 0.153334
361 0.0585883 0.789581 0.151831
362 0.0572446 0.792411 0.150344
363 0.0559405 0.795182 0.148877
364 0.0546765 0.797888 0.147435
365 0.0534526 0.800526 0.146021
366 0.0523897 0.802874 0.144736
367 0.0513514 0.805189 0.143459
368 0.0503278 0.807509 0.142164
369 0.0493108 0.809862 0.140827
370 0.0482918 0.812282 0.139426
371 0.0473448 0.814637 0.138018
372 0.0463955 0.817052 0.136552
373 0.0454545 0.819486 0.13506
374 0.0445312 0.821898 0.133571
375 0.043635 0.824252 0.132113
376 0.042813 0.82644 0.130747
377 0.0420142 0.828576 0.12941
378 0.0412293 0.830695 0.128076
379 0.0404487 0.832836 0.126715
380 0.0396638 0.835036 0.125301
381 0.0388943 0.837264 0.123841
382 0.0381188 0.839556 0.122325
383 0.0373457 0.841876 0.120779
384 0.0365818 0.844194 0.119224
385 0.035834 0.846482 0.117684
386 0.0351187 0.84869 0.116191
387 0.0344233 0.850847 0.11473
388 0.0337457 0.85296 0.113294
389 0.0330835 0.855038 0.111879
390 0.0324349 0.857088 0.110477
391 0.0318081 0.859096 0.109096
392 0.0311925 0.861083 0.107725
393 0.0305877 0.863051 0.106361
394 0.0299938 0.864998 0.105008
395 0.0294106 0.866926 0.103664
396 0.0288471 0.868811 0.102342
397 0.028295 0.870671 0.101034
398 0.0277546 0.872502 0.0997435
399 0.027227 0.874299 0.0984738
400 0.0267128 0.876058 0.0972289
401 0.0262247 0.877748 0.096027
402 0.02575 0.879397 0.0948529
403 0.0252885 0.881005 0.0937068
404 0.02484 0.882571 0.0925889
405 0.0244044 0.884096 0.0914995
406 0.0239815 0.88558 0.0904386
407 0.0235712 0.887022 0.089407
408 0.0231733 0.888422 0.0884043
409 0.0227875 0.889782 0.0874307
410 0.0224138 0.891099 0.0864868
411 0.0220618 0.892353 0.0855855
412 0.0217204 0.893568 0.0847112
413 0.0213889 0.89475 0.0838609
414 0.0210664 0.895901 0.0830321
415 0.0207523 0.897025 0.0822231
416 0.0204458 0.898123 0.081431
417 0.0201462 0.8992 0.080654
418 0.0198529 0.900258 0.0798893
419 0.0195652 0.9013 0.0791349
420 0.0192826 0.902328 0.0783891
421 0.0190184 0.903311 0.0776705
422 0.0187586 0.904282 0.0769595
423 0.0185033 0.905239 0.0762574
424 0.0182527 0.906183 0.0755646
425 0.0180072 0.907109 0.0748835
426 0.0177669 0.908019 0.0742145
427 0.0175322 0.908908 0.0735597
428 0.0173033 0.909777 0.0729199
429 0.0170802 0.910623 0.0722965
430 0.0168633 0.911446 0.0716905
431 0.0166574 0.912232 0.0711102
432 0.0164573 0.912995 0.0705473
433 0.0162627 0.913737 0.0700005
434 0.0160734 0.914457 0.0694691
435 0.0158888 0.91516 0.0689516
436 0.015709 0.915843 0.0684477
437 0.0155334 0.916511 0.0679558
438 0.0153619 0.917163 0.0674749
439 0.0151941 0.917801 0.0670044
440 0.0150298 0.918427 0.0665433
441 0.0148771 0.919019 0.0661043
442 0.0147272 0.9196 0.0656724
443 0.0145799 0.920173 0.065247
444 0.0144349 0.920738 0.0648273
445 0.014292 0.921296 0.0644118
446 0.0141509 0.92185 0.0639996
447 0.0140116 0.922398 0.0635907
448 0.0138738 0.922943 0.0631837
449 0.0137372 0.923485 0.0627779
450 0.0136018 0.924026 0.0623727
451 0.0134729 0.92455 0.061977
452 0.013345 0.925073 0.0615822
453 0.0132185 0.925592 0.0611893
454 0.0130936 0.926106 0.0608002
455 0.0129706 0.926613 0.0604159
456 0.0128498 0.927112 0.0600379
457 0.0127314 0.927601 0.0596674
458 0.0126156 0.928079 0.0593054
459 0.0125026 0.928544 0.0589531
460 0.0123928 0.928995 0.058612
461 0.0122877 0.929427 0.0582853
462 0.0121855 0.929845 0.057969
463 0.0120855 0.930255 0.0576598
464 0.0119874 0.930656 0.0573569
465 0.0118906 0.931052 0.0570573
466 0.0117947 0.931446 0.056759
467 0.0116994 0.93184 0.0564606
468 0.0116043 0.932236 0.0561601
469 0.0115088 0.932636 0.0558548
470 0.0114126 0.933044 0.0555436
471 0.01132 0.933446 0.0552335
472 0.0112267 0.933857 0.0549168
473 0.011133 0.934271 0.0545964
474 0.0110395 0.934687 0.0542739
475 0.0109465 0.935102 0.0539515
476 0.0108544 0.935515 0.0536307
477 0.0107635 0.935923 0.0533134
478 0.0106742 0.936324 0.0530017
479 0.0105869 0.936716 0.0526975
480 0.0105019 0.937096 0.0524021
481 0.0104207 0.93746 0.0521195
482 0.0103419 0.937812 0.0518464
483 0.0102651 0.938153 0.0515818
484 0.0101901 0.938486 0.0513236
485 0.0101166 0.938812 0.0510716
486 0.0100444 0.939132 0.0508237
487 0.00997327 0.939447 0.0505797
488 0.00990294 0.939759 0.0503376
489 0.00983316 0.94007 0.0500965
490 0.00976379 0.940381 0.0498556
491 0.00969704 0.940684 0.0496187
492 0.00963052 0.940988 0.0493814
493 0.00956424 0.941292 0.0491435
494 0.00949844 0.941595 0.0489065
495 0.00943314 0.941896 0.0486705
496 0.00936846 0.942196 0.048436
497 0.00930445 0.942492 0.0482034
498 0.00924124 0.942785 0.0479734
499 0.00917894 0.943075 0.0477465
500 0.00911755 0.94336 0.0475229
501 0.00905827 0.943636 0.0473052
502 0.00899985 0.943909 0.0470907
503 0.00894203 0.94418 0.0468778
504 0.00888466 0.944449 0.046666
505 0.0088275 0.944719 0.0464539
506 0.00877042 0.944989 0.046241
507 0.00871325 0.945261 0.0460261
508 0.0086558 0.945536 0.0458085
509 0.00859785 0.945815 0.0455869
510 0.00853935 0.9461 0.045361
511 0.00848115 0.946387 0.045132
512 0.0084224 0.946679 0.0448989
513 0.00836337 0.946974 0.0446629
514 0.00830441 0.94727 0.044426
515 0.00824563 0.947566 0.0441888
516 0.00818739 0.947859 0.0439532
517 0.00812985 0.94815 0.0437201
518 0.00807329 0.948436 0.043491
519 0.00801793 0.948715 0.0432671
520 0.00796396 0.948986 0.0430496
521 0.00791253 0.949246 0.0428415
522 0.00786254 0.949497 0.0426403
523 0.00781393 0.949741 0.0424454
524 0.00776645 0.949978 0.0422557
525 0.00772013 0.950209 0.0420713
526 0.0076747 0.950435 0.0418908
527 0.00763007 0.950656 0.0417137
528 0.00758619 0.950874 0.0415398
529 0.00754289 0.951089 0.0413681
530 0.00749999 0.951302 0.0411977
531 0.0074583 0.951512 0.0410302
532 0.00741684 0.95172 0.0408631
533 0.00737556 0.951928 0.0406962
534 0.00733424 0.952138 0.0405282
535 0.00729278 0.952349 0.0403587
536 0.0072512 0.952561 0.0401876
537 0.00720933 0.952777 0.0400141
538 0.00716709 0.952995 0.0398378
539 0.00712438 0.953218 0.039658
540 0.00708112 0.953445 0.0394742
541 0.00703805 0.953674 0.0392881
542 0.00699453 0.953907 0.0390986
543 0.00695077 0.954142 0.038907
544 0.00690698 0.954379 0.0387144
545 0.00686334 0.954615 0.0385218
546 0.00682011 0.954849 0.0383308
547 0.00677738 0.955081 0.0381417
548 0.00673533 0.955309 0.0379558
549 0.00669424 0.955531 0.0377745
