# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 ElectricField
# x GenerationRate Intensity ElectricField 
0 0 166.289 183.336 
1 0 173.337 189.939 
2 0 187.705 203.378 
3 0 202.613 217.279 
4 0 218.05 231.629 
5 0 225.9 238.916 
5 6.57122e+21 39.4578 253.924 
6 6.34374e+21 38.2705 246.561 
7 5.90499e+21 35.9745 232.308 
8 5.49748e+21 33.8302 218.969 
9 5.11896e+21 31.8272 206.483 
10 4.76733e+21 29.9557 194.791 
11 4.44065e+21 28.2068 183.841 
12 4.13711e+21 26.572 173.581 
13 3.85504e+21 25.0436 163.967 
14 3.59291e+21 23.6142 154.955 
15 3.34927e+21 22.277 146.505 
16 3.12279e+21 21.0259 138.579 
17 2.91225e+21 19.8549 131.143 
18 2.71649e+21 18.7587 124.164 
19 2.53446e+21 17.7322 117.613 
20 2.36517e+21 16.7706 111.46 
21 2.20771e+21 15.8696 105.68 
22 2.06124e+21 15.0251 100.249 
23 1.92497e+21 14.2333 95.1432 
24 1.79817e+21 13.4908 90.3423 
25 1.73705e+21 13.1314 88.0154 
25 1.62329e+21 12.4569 83.637 
26 1.57035e+21 12.1404 81.5765 
27 1.46811e+21 11.5266 77.5763 
28 1.37293e+21 10.9502 73.8093 
29 1.24449e+21 10.1621 68.6383 
30 1.16195e+21 9.65324 65.2943 
